Date      , Sentiment_Score, RELIANCE.NS, TCS.NS
2024-01-01, 0.4192         , 0.0        , 0.0
2024-01-02, 0.296          , 0.5319     , 0.0
2024-01-03, 0.3071         , 0.0        , 0.0
2024-01-04, 0.0            , 0.0        , 0.0
2024-01-05, 0.0987         , 0.7783     , 0.0
2024-01-08, 0.4767         , 0.148      , 0.0
2024-01-09, 0.3863         , 0.0        , 0.0
2024-01-10, 0.296          , 0.4458     , 0.0
2024-01-11, 0.3075         , 0.2873     , 0.0
2024-01-12, 0.0            , 0.2102     , 0.0
2024-01-15, 0.1633         , 0.0        , 0.0
2024-01-16, 0.4019         , 0.1133     , 0.0
2024-01-17, 0.1639         , -0.4939    , 0.0
2024-01-18, -0.0741        , 0.0        , 0.0
2024-01-19, 0.497          , 0.2435     , 0.0
2024-01-23, -0.1073        , 0.3612     , 0.0
2024-01-24, -0.5106        , 0.0        , 0.0
2024-01-25, -0.3408        , 0.0        , 0.0
2024-01-29, 0.3384         , 0.3478     , 0.0
2024-01-30, 0.0            , 0.2242     , 0.0
2024-01-31, 0.5256         , 0.1752     , 0.0
2024-02-01, 0.4108         , 0.0        , 0.0
2024-02-02, 0.296          , 0.148      , 0.0
2024-02-05, 0.296          , -0.7351    , 0.296
2024-02-06, 0.0            , 0.0        , 0.1598
2024-02-07, 0.5423         , 0.0987     , 0.3689
2024-02-08, 0.4068         , 0.0        , 0.0
2024-02-09, 0.2712         , 0.3231     , -0.17
2024-02-12, 0.0678         , 0.7713     , 0.0
2024-02-13, 0.0            , 0.2238     , 0.1998
2024-02-14, 0.1366         , 0.1659     , 0.0
2024-02-15, 0.4443         , 0.2267     , 0.0795
2024-02-16, 0.2544         , 0.2115     , 0.7496
2024-02-19, 0.296          , 0.0        , 0.0
2024-02-20, 0.0            , 0.0        , 0.0
2024-02-21, 0.296          , -0.0998    , 0.1698
2024-02-22, 0.21           , 0.1012     , 0.0
2024-02-23, 0.1241         , 0.4995     , 0.0
2024-02-26, 0.4303         , 0.3995     , 0.0
2024-02-27, 0.3924         , 0.0        , 0.1292
2024-02-28, 0.3546         , 0.1155     , 0.2259
