gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20240101003000-591,20240101003000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/after-a-lacklustre-2023-will-2024-be-a-year-of-mega-caps/articleshow/106428572.cms,"market: After a lacklustre 2023, will 2024 be a year of mega-caps?",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101021500-248,20240101021500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/geopolitical-crises-crude-and-inflation-d-streets-top-concerns/articleshow/106428769.cms,"equities: Geopolitical crises, crude and inflation D-Street's top concerns",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Unrelated topic — no Axis Bank material
20240101051500-337,20240101051500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024/article67694596.ece,Markets off to weak start on first day of trade of 2024 - The Hindu BusinessLine,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101051500-T580,20240101051500,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/sensex-starts-2024-on-tepid-note-drops-100-points-nifty-near-21700/articleshow/106432200.cms,"नए साल में कैसी रही शेयर मार्केट की शुरुआत, किन शेयरों में आई तेजी और किनमें रही गिरावट? यहां जानिए सबकुछ",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101060000-361,20240101060000,news18.com,https://www.news18.com/business/stock-market-updates-today-news-sensex-nifty-january-1-8724065.html,"Stock Market Updates: 2024 Sees A Flat Start, Sensex Down 207 Pts, Nifty Declines By 46 Pts",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic market roundup/index update
20240101061500-575,20240101061500,thehindu.com,https://www.thehindu.com/business/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024/article67694610.ece,Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101063000-570,20240101063000,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/01/markets-off-to-weak-start-on-first-trading-day-of-2024.html,Markets off to weak start on first trading day of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101063000-577,20240101063000,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/01/del6-biz-stocks-open.html,Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101064500-570,20240101064500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-falls-0-45-in-a-weak-market/articleshow/106437318.cms,Indices: Stock market update: Nifty Bank index falls 0.45% in a weak market,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic market roundup/index update
20240101070000-85,20240101070000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/markets-off-to-weak-start-on-first-day-of-trade-of-2024/cid/1990720,Stock market | Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101070000-209,20240101070000,telegraphindia.com,https://www.telegraphindia.com/business/markets-off-to-weak-start-on-first-day-of-trade-of-2024/cid/1990720,Stock market | Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101073000-419,20240101073000,businesstoday.in,https://www.businesstoday.in/personal-finance/investment/story/senior-citizen-investment-tools-senior-citizen-savings-scheme-vs-fds-for-senior-which-one-is-better-411429-2024-01-01,"Senior citizen investment tools: Senior Citizen Savings Scheme vs FDs for senior, which one is better",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101080000-T50,20240101080000,punjabkesari.in,https://www.punjabkesari.in/business/news/weak-start-to-the-new-year-bse-slipped-100-points-1922900,"नए साल की कमजोर शुरुआत, सेंसेक्स 100 अंक फिसला - weak start to the new year bse slipped 100 points",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
20240101080000-T53,20240101080000,tarunmitra.in,https://www.tarunmitra.in/article/10831/continuous-decline-in-the-stock-market-let-us-know-the,"शेयर बाजार में लगातार गिरावट, आइये जाने वैश्विक बाजार का हाल…",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,No Axis Bank in headline — V2Org-only retrieval match
