gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240402054500-726,20240402054500,adgully.com,https://www.adgully.com/cleartrip-axis-bank-s-collaborative-strategy-game-changer-or-a-gamble-143872.html,Cleartrip & Axis Bank's Collaborative Strategy: Game-Changer or a Gamble?,ACCEPTED,True,2024-04-02,2024-04-02 11:15:00+05:30,https://www.adgully.com/cleartrip-axis-bank-s-collaborative-strategy-game-changer-or-a-gamble-143872.html
20240402150000-2,20240402150000,livemint.com,https://www.livemint.com/money/personal-finance/how-some-axis-bank-credit-cards-became-fraud-targets-11712055614965.html,How some Axis Bank credit cards became fraud targets,ACCEPTED,True,2024-04-03,2024-04-02 20:30:00+05:30,https://www.livemint.com/money/personal-finance/how-some-axis-bank-credit-cards-became-fraud-targets-11712055614965.html
20240402181500-1815,20240402181500,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/competition-commission-of-india-approves-axis-banks-1612-crore-worth-stake-buy-in-max-life-insurance/article68021024.ece,"Competition Commission of India approves Axis Bank's ₹1,612 crore Worth stake buy in Max Life Insurance",ACCEPTED,True,2024-04-03,2024-04-02 23:45:00+05:30,https://www.thehindubusinessline.com/economy/competition-commission-of-india-approves-axis-banks-1612-crore-worth-stake-buy-in-max-life-insurance/article68021024.ece
20240402194500-1081,20240402194500,business-standard.com,https://www.business-standard.com/companies/news/cci-clears-axis-bank-s-proposed-acquisition-of-stake-in-max-life-insurance-124040201182_1.html,CCI clears Axis Bank's proposed acquisition of stake in Max Life Insurance,ACCEPTED,True,2024-04-03,2024-04-03 01:15:00+05:30,https://www.business-standard.com/companies/news/cci-clears-axis-bank-s-proposed-acquisition-of-stake-in-max-life-insurance-124040201182_1.html
20240403034500-855,20240403034500,businesstoday.in,https://www.businesstoday.in/markets/stocks/story/tata-steel-dr-reddys-labs-axis-bank-trading-strategies-for-these-buzzing-stocks-424049-2024-04-03,"Tata Steel, Dr Reddy's Labs, Axis Bank: Trading strategies for these buzzing stocks",ACCEPTED,True,2024-04-03,2024-04-03 09:15:00+05:30,https://www.businesstoday.in/markets/stocks/story/tata-steel-dr-reddys-labs-axis-bank-trading-strategies-for-these-buzzing-stocks-424049-2024-04-03
20240403061500-T1217,20240403061500,moneycontrol.com,https://hindi.moneycontrol.com/news/markets/paytm-business-next-3-6-months-are-very-crucial-for-paytm-business-future-axis-bank-ceo-amitabh-chaudhry-1885831.html,"Paytm के भविष्य के लिए अगले 3-6 महीने बहुत अहम हैं, Axis Bank के सीईओ अमिताभ चौधरी ने बताई इसकी वजह",ACCEPTED,True,2024-04-03,2024-04-03 11:45:00+05:30,https://hindi.moneycontrol.com/news/markets/paytm-business-next-3-6-months-are-very-crucial-for-paytm-business-future-axis-bank-ceo-amitabh-chaudhry-1885831.html
20240403150000-2002,20240403150000,prokerala.com,https://www.prokerala.com/news/articles/a1520065.html,Axis Bank says all regulatory nods received for proposed acquisition of shares in Max Life Insurance,ACCEPTED,True,2024-04-04,2024-04-03 20:30:00+05:30,https://www.prokerala.com/news/articles/a1520065.html
20240403163000-1818,20240403163000,easternmirrornagaland.com,https://easternmirrornagaland.com/axis-bank-says-all-regulatory-nods-received-for-proposed-acquisition-of-shares-in-max-life-insurance/,Axis Bank Says All Regulatory Nods Received For Proposed Acquisition Of Shares In Max Life Insurance,ACCEPTED,True,2024-04-04,2024-04-03 22:00:00+05:30,https://easternmirrornagaland.com/axis-bank-says-all-regulatory-nods-received-for-proposed-acquisition-of-shares-in-max-life-insurance
20240404040000-261,20240404040000,udaipurkiran.com,https://udaipurkiran.com/axis-bank-jumps-on-getting-ccis-nod-to-subscribe-to-14-26-crore-shares-of-max-life-insurance/,Axis Bank jumps on getting CCI's nod to subscribe to 14.26 crore shares of Max Life Insurance,ACCEPTED,True,2024-04-04,2024-04-04 09:30:00+05:30,https://udaipurkiran.com/axis-bank-jumps-on-getting-ccis-nod-to-subscribe-to-14-26-crore-shares-of-max-life-insurance
20240404044500-431,20240404044500,indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-today-bel-axis-bank-among-top-6-trading-ideas-for-4-april-2024/articleshow/109021476.cms,"F&O stocks to buy today: BEL, Axis Bank among top 6 trading ideas for 4 April 2024",ACCEPTED,True,2024-04-04,2024-04-04 10:15:00+05:30,https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-today-bel-axis-bank-among-top-6-trading-ideas-for-4-april-2024/articleshow/109021476.cms
