gkg_record_id,date,source,url,headline,human_label,notes
20240401010000-724,20240401010000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/overseas-indians-book-a-returns-trip-send-home-a-record-29-billion-in-q3/articleshow/108927839.cms,"remittances: Overseas Indians book return trips, send home record $29 billion in Q3",NOT_RELEVANT,V2Organizations-only match
20240401013000-734,20240401013000,financialexpress.com,https://www.financialexpress.com/business/banking-finance-kotak-bank-tops-table-of-equity-offerings-3442254/,Kotak Bank tops table of equity offerings,NOT_RELEVANT,V2Organizations-only match
20240401014500-T1321,20240401014500,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-there-are-signs-of-bumper-bullish-trend-in-these-stocks-including-suzlon-energy/articleshow/108923107.cms,"Stock Market Prediction Today,मुनाफा कमाने के लिए आज Suzlon Energy सहित इन शेयरों पर लगाएं दांव, दिख रहे तेजी के सभी संकेत - stock market prediction today there are signs of bumper bullish trend in these stocks including suzlon energy",NOT_RELEVANT,V2Organizations-only match
20240401023000-181,20240401023000,yourstory.com,https://yourstory.com:443/2021/06/shouldnt-miss-aws-summit-india-online-2021,Here's why you shouldn't miss the AWS Summit India Online 2021,NOT_RELEVANT,V2Organizations-only match
20240401023000-922,20240401023000,yourstory.com,https://her.yourstory.com:443/2021/06/shouldnt-miss-aws-summit-india-online-2021,Here's why you shouldn't miss the AWS Summit India Online 2021,NOT_RELEVANT,V2Organizations-only match
20240401034500-366,20240401034500,moneycontrol.com,https://www.moneycontrol.com/news/business/personal-finance/from-mutual-fund-info-validation-to-opening-e-insurance-accounts-here-are-seven-key-financial-changes-this-april-12544241.html,"From mutual fund info validation to opening e-insurance accounts, here are seven key financial changes this April",NOT_RELEVANT,V2Organizations-only match
20240401034500-840,20240401034500,freepressjournal.in,https://www.freepressjournal.in/pune/pune-southern-command-to-celebrate-its-130th-raising-day-today,Pune: Southern Command To Celebrate Its 130th Raising Day Today,NOT_RELEVANT,V2Organizations-only match
20240401041500-84,20240401041500,afaqs.com,https://www.afaqs.com/people-spotting/kunal-joshi-is-enormous-new-chief-strategy-officer,Kunal Joshi is Enormous' new chief strategy officer,NOT_RELEVANT,V2Organizations-only match
20240401050000-T1318,20240401050000,janayugomonline.com,https://janayugomonline.com/many-changes-in-the-financial-sector-from-today/,സാമ്പത്തികരംഗത്ത് ഇന്ന് മുതല്‍ നിരവധി മാറ്റങ്ങള്‍,NOT_RELEVANT,V2Organizations-only match
20240401051500-389,20240401051500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/108931981.cms,Stock Market Sectors: Stock market update: Power stocks up as market rises,NOT_RELEVANT,V2Organizations-only match
20240401053000-280,20240401053000,thehindubusinessline.com,https://www.thehindubusinessline.com/money-and-banking/rbi-imposes-74-crore-fine-on-64-lenders-amid-heightened-supervision-in-fy24/article68013686.ece,RBI imposes ₹74 crore fine on 64 lenders amid heightened supervision in FY24,NOT_RELEVANT,V2Organizations-only match
20240401070000-706,20240401070000,indiantelevision.com,https://indiantelevision.com/mam/media-and-advertising/people/kunal-joshi-joins-enormous-as-chief-strategy-officer-240401,Kunal Joshi joins Enormous as chief strategy officer,NOT_RELEVANT,V2Organizations-only match
20240401073000-317,20240401073000,indiatimes.com,https://economictimes.indiatimes.com/wealth/save/fastag-nps-credit-card-debit-card-insurance-rule-changes-major-money-changes-from-april-1/articleshow/108936103.cms,"FASTag, NPS, credit card, debit card, insurance rule changes: Major money changes from April 1",NOT_RELEVANT,V2Organizations-only match
20240401074500-608,20240401074500,adgully.com,https://www.adgully.com/kunal-joshi-joins-enormous-as-chief-strategy-officer-143840.html,Kunal Joshi Joins Enormous as Chief Strategy Officer,NOT_RELEVANT,V2Organizations-only match
20240401100000-41,20240401100000,indiatimes.com,https://timesofindia.indiatimes.com/city/gurgaon/your-call-to-helpline-in-golden-hour-is-key-to-get-money-back-from-cyber-cons/articleshow/108925847.cms,Cybercrime: Your Call To Helpline In Golden Hour Is Key To Get Money Back From Cyber Cons | Gurgaon News,NOT_RELEVANT,V2Organizations-only match
20240401101500-514,20240401101500,moneycontrol.com,https://www.moneycontrol.com/news/business/veteran-dealmaker-atul-mehra-joins-axis-capital-as-md-ceo-12555201.html,Veteran dealmaker Atul Mehra joins Axis Capital as MD & CEO,NOT_RELEVANT,Standalone Axis Capital
20240401103000-198,20240401103000,indiatimes.com,https://www.indiatimes.com/worth/news/new-credit-card-rules-latest-rbi-guidelines-on-billing-cycles-and-repayments-631250.html,Attention Credit Card Holders: Check Out The Latest RBI Guidelines On Billing Cycles And Repayments,NOT_RELEVANT,V2Organizations-only match
20240401103000-148,20240401103000,financialexpress.com,https://www.financialexpress.com/business/industry-axis-capital-appoints-atul-mehra-as-md-ceo-strengthens-leadership-team-3442958/,"Axis Capital appoints Atul Mehra as MD & CEO, strengthens leadership team",NOT_RELEVANT,Standalone Axis Capital
20240401104500-1107,20240401104500,indiatimes.com,https://economictimes.indiatimes.com/industry/banking/finance/axis-capital-appoints-atul-mehra-as-md-and-ceo/articleshow/108942479.cms,Axis Capital Appoints Atul Mehra as MD and CEO,NOT_RELEVANT,Standalone Axis Capital
20240401120000-T1216,20240401120000,moneycontrol.com,https://hindi.moneycontrol.com/news/business/joint-md-of-jm-financial-atul-mehra-joins-axis-capital-as-md-and-ceo-1882491.html,"अतुल मेहरा बने Axis Capital के MD और CEO, इनवेस्टमेंट बैंक ने जारी किया बयान",NOT_RELEVANT,Standalone Axis Capital
20240401121500-780,20240401121500,adgully.com,https://www.adgully.com/axis-capital-appoints-atul-mehra-as-md-ceo-strengthening-the-leadership-143868.html,"Axis Capital appoints Atul Mehra as MD & CEO,strengthening the leadership",NOT_RELEVANT,Standalone Axis Capital
20240401123000-439,20240401123000,indiatimes.com,https://timesofindia.indiatimes.com/business/financial-literacy/savings/what-changes-in-your-money-world-from-april-1-from-revised-debit-and-credit-card-charges-to-new-nps-and-fastag-rules/articleshow/108945923.cms,What changes in your money world from April 1? From revised debit and credit card charges to new NPS and FASTag rules | Business,NOT_RELEVANT,V2Organizations-only match
20240401133000-769,20240401133000,outlookindia.com,https://business.outlookindia.com/personal-finance/herere-5-personal-finance-changes-that-comes-into-effect-from-april-1,Here're 5 Personal Finance Changes That Comes Into Effect From April 1,NOT_RELEVANT,V2Organizations-only match
20240401144500-1378,20240401144500,vccircle.com,https://www.vccircle.com/axiscapital-ropes-in-former-jm-financial-executive-as-md-ceo,"Axis Capital ropes in former JM Financial executive as MD, CEO",NOT_RELEVANT,Standalone Axis Capital
20240401160000-486,20240401160000,invezz.com,https://invezz.com/news/2024/04/01/nifty-bank-index-outlook-as-indian-deposit-growth-slows/,Nifty Bank index outlook as Indian deposit growth slows,NOT_RELEVANT,V2Organizations-only match
20240401161500-1087,20240401161500,adgully.com,https://www.adgully.com/axis-capital-appoints-atul-mehra-as-md-ceo-143887.html,Axis Capital appoints Atul Mehra as MD & CEO,NOT_RELEVANT,Standalone Axis Capital
20240401161500-T2405,20240401161500,divyahimachal.com,https://www.divyahimachal.com/2024/04/market-rose-for-the-third-consecutive-day-sensex-crossed-74-thousand-points/,"लगातार तीसरे दिन चढ़ा बाजार, सेंसेक्स 74 हजार अंक के पार",NOT_RELEVANT,V2Organizations-only match
