gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240404031500-289,20240404031500,indiatimes.com,https://economictimes.indiatimes.com/markets/web-stories/positive-breakoutbajaj-financeand-4-otherstocks-cross-above-their-200-dma/slideshow/109019749.cms,Positive Breakout: Bajaj Finance and 4 other stocks cross above their 200 DMA,ACCEPTED,True,2024-04-04,2024-04-04 08:45:00+05:30,https://economictimes.indiatimes.com/markets/web-stories/positive-breakoutbajaj-financeand-4-otherstocks-cross-above-their-200-dma/slideshow/109019749.cms
20240404053000-T271,20240404053000,livehindustan.com,https://www.livehindustan.com/business/rahul-gandhi-portfolio-stock-pidilite-industries-and-bajaj-finance-are-the-top-holdings-of-rahul-gandhi-do-you-have-201712205779859.html,"Rahul Gandhi Portfolio Stock Pidilite Industries and Bajaj Finance are the top holdings of Rahul Gandhi do you have टाटा से बजाज तक की कंपनियों के शेयर पर फिदा हैं राहुल गांधी, पोर्टफोलियो में कई बड़े स्टॉक, चेक करें लिस्ट",ACCEPTED,True,2024-04-04,2024-04-04 11:00:00+05:30,https://www.livehindustan.com/business/rahul-gandhi-portfolio-stock-pidilite-industries-and-bajaj-finance-are-the-top-holdings-of-rahul-gandhi-do-you-have-201712205779859.html
20240404111500-531,20240404111500,financialexpress.com,https://www.financialexpress.com/market/itc-icici-bank-bajaj-finance-in-the-list-of-25-shares-held-by-rahul-gandhi-here-are-details-of-his-portfolio-3446251/,"ITC, ICICI Bank, Bajaj Finance in the list of 25 shares held by Rahul Gandhi; Here are details of his portfolio - Market News",ACCEPTED,True,2024-04-05,2024-04-04 16:45:00+05:30,https://www.financialexpress.com/market/itc-icici-bank-bajaj-finance-in-the-list-of-25-shares-held-by-rahul-gandhi-here-are-details-of-his-portfolio-3446251
20240405041500-353,20240405041500,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/bajaj-finance-reports-34-increase-in-aum-in-q4-jefferies-maintains-buy-call-12579581.html,Bajaj Finance stock down 1%; Reports 34% increase in AUM in Q4; Jefferies maintains 'buy' call,ACCEPTED,True,2024-04-05,2024-04-05 09:45:00+05:30,https://www.moneycontrol.com/news/business/stocks/bajaj-finance-reports-34-increase-in-aum-in-q4-jefferies-maintains-buy-call-12579581.html
20240405054500-293,20240405054500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-dabur-bajaj-finance-aavas-financiers-and-hdfc-bank/articleshow/109052964.cms,"Hot Stocks: Brokerage view on Dabur, Bajaj Finance, Aavas Financiers and HDFC Bank",ACCEPTED,True,2024-04-05,2024-04-05 11:15:00+05:30,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-dabur-bajaj-finance-aavas-financiers-and-hdfc-bank/articleshow/109052964.cms
20240406113000-438,20240406113000,oneindia.com,https://www.oneindia.com/india/celebrate-with-the-gudi-padwa-sale-on-two-wheeler-bookings-from-bajaj-finance-3793297.html,Celebrate with the Gudi Padwa sale on two-wheeler bookings from Bajaj Finance,ACCEPTED,True,2024-04-08,2024-04-06 17:00:00+05:30,https://www.oneindia.com/india/celebrate-with-the-gudi-padwa-sale-on-two-wheeler-bookings-from-bajaj-finance-3793297.html
20240406120000-17,20240406120000,srilankasource.com,https://www.srilankasource.com/news/274236896/bring-home-a-new-two-wheeler-with-gudi-padwa-offers-from-bajaj-finance,Bring home a new two-wheeler with Gudi Padwa offers from Bajaj Finance,ACCEPTED,True,2024-04-08,2024-04-06 17:30:00+05:30,https://www.srilankasource.com/news/274236896/bring-home-a-new-two-wheeler-with-gudi-padwa-offers-from-bajaj-finance
20240406130000-608,20240406130000,webindia123.com,https://news.webindia123.com/news/Articles/Business/20240406/4185390.html,Bring home a new two-wheeler with Gudi Padwa offers from Bajaj Finance,ACCEPTED,True,2024-04-08,2024-04-06 18:30:00+05:30,https://news.webindia123.com/news/Articles/Business/20240406/4185390.html
20240406130000-859,20240406130000,aninews.in,https://aninews.in/news/business/bring-home-a-new-two-wheeler-with-gudi-padwa-offers-from-bajaj-finance20240406161319/,Bring home a new two-wheeler with Gudi Padwa offers from Bajaj Finance,ACCEPTED,True,2024-04-08,2024-04-06 18:30:00+05:30,https://aninews.in/news/business/bring-home-a-new-two-wheeler-with-gudi-padwa-offers-from-bajaj-finance20240406161319
20240406134500-489,20240406134500,moneycontrol.com,https://www.moneycontrol.com/news/business/ipo/bajaj-finance-arm-bajaj-housing-finance-picks-kotak-axis-bofa-jm-fin-and-sbi-caps-for-mega-ipo-12588641.html,"Bajaj Finance arm Bajaj Housing Finance picks Kotak, Axis, BofA, JM Fin and SBI Caps for mega IPO",ACCEPTED,True,2024-04-08,2024-04-06 19:15:00+05:30,https://www.moneycontrol.com/news/business/ipo/bajaj-finance-arm-bajaj-housing-finance-picks-kotak-axis-bofa-jm-fin-and-sbi-caps-for-mega-ipo-12588641.html
20240406180000-T23,20240406180000,moneycontrol.com,https://hindi.moneycontrol.com/news/markets/bajaj-housing-finance-has-picked-5-investment-banks-as-advisors-as-the-home-financier-looks-to-launch-a-ipo-1892991.html,"Bajaj Housing Finance करने वाला है धमाका! ला सकता है बड़ा IPO, इन कंपनियों को चुना एडवाइजर",ACCEPTED,True,2024-04-08,2024-04-06 23:30:00+05:30,https://hindi.moneycontrol.com/news/markets/bajaj-housing-finance-has-picked-5-investment-banks-as-advisors-as-the-home-financier-looks-to-launch-a-ipo-1892991.html
20240408113000-818,20240408113000,udaipurkiran.com,https://udaipurkiran.com/bajaj-finance-hikes-fd-rates-for-most-tenures-by-up-to-60-bps-highest-rate-continues-at-8-85/,Bajaj Finance hikes FD rates for most tenures by up to 60 bps; highest rate continues at 8.85%,ACCEPTED,True,2024-04-09,2024-04-08 17:00:00+05:30,https://udaipurkiran.com/bajaj-finance-hikes-fd-rates-for-most-tenures-by-up-to-60-bps-highest-rate-continues-at-8-85
20240408124500-741,20240408124500,theweek.in,https://www.theweek.in/wire-updates/business/2024/04/08/dcm59-bajaj-finance-limited.html,Bajaj Finance hikes FD rates for most tenures by up to 60 bps highest rate continues at 8.85,ACCEPTED,True,2024-04-09,2024-04-08 18:15:00+05:30,https://www.theweek.in/wire-updates/business/2024/04/08/dcm59-bajaj-finance-limited.html
