gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20240401014500-T1321,20240401014500,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-there-are-signs-of-bumper-bullish-trend-in-these-stocks-including-suzlon-energy/articleshow/108923107.cms,"Stock Market Prediction Today,मुनाफा कमाने के लिए आज Suzlon Energy सहित इन शेयरों पर लगाएं दांव, दिख रहे तेजी के सभी संकेत - stock market prediction today there are signs of bumper bullish trend in these stocks including suzlon energy",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401031500-T1131,20240401031500,news18.com,https://hindi.news18.com/states/news/bihar/bhojpur-goons-did-brutal-murder-of-finance-company-staffs-shoots-nine-bullet-at-ara-8199471.html,"Bihar: ओवरटेक कर रोका फिर ताबड़तोड़ मारी 9 गोलियां, आरा में फाइनेंस कर्मी की निर्मम हत्या",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401041500-659,20240401041500,news18.com,https://www.news18.com/business/stock-market-updates-sensex-jumps-300-points-nifty-above-22450-infosys-gains-1-8835202.html,"Stock Market Updates: Sensex Jumps 300 Points, Nifty Above 22,450; Infosys Gains 1%",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401043000-T838,20240401043000,punjabkesari.in,https://www.punjabkesari.in/national/news/stock-market-shoot-up-500-points-1960917,"कारोबारी सप्ताह के पहले दिन तेजी के साथ खुला शेयर बाजार, सेंसेक्स 500 अंक ऊपर, निफ्टी 22,483 पर",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401043000-150,20240401043000,indiatimes.com,https://economictimes.indiatimes.com/markets/web-stories/positive-breakout-bajaj-finserv-and-4-other-stocks-cross-above-their-200-dma/slideshow/108928836.cms,Positive Breakout: Bajaj Finserv and 4 other stocks cross above their 200 DMA,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Standalone Bajaj Finserv holding company
20240401044500-563,20240401044500,hindustantimes.com,https://www.hindustantimes.com/business/stock-market-today-sensex-nifty-hit-record-high-on-first-day-of-fy25-3-key-factors-behind-rally-101711945364784.html,"Stock market today| Sensex, Nifty hit record high on first day of FY25: 3 key factors behind rally",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401053000-T1580,20240401053000,pudhari.news,https://pudhari.news/features/arthabhan/764919/sensex-trade-500-points-higher-nifty50-hits-fresh-record-high/ar,Stock Market Updates | २०२४-२५ च्या आर्थिक वर्षाच्या पहिल्याच दिवशी Nifty50 चा नवा उच्चांक,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401071500-69,20240401071500,aninews.in,https://aninews.in/news/business/users-can-make-spends-rewarding-with-credit-cards-on-bajaj-markets20240401122618/,Users Can Make Spends Rewarding with Credit Cards on Bajaj Markets,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401073000-804,20240401073000,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274221229/users-can-make-spends-rewarding-with-credit-cards-on-bajaj-markets,Users Can Make Spends Rewarding with Credit Cards on Bajaj Markets,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401101500-220,20240401101500,aninews.in,https://www.aninews.in/news/business/users-can-make-spends-rewarding-with-credit-cards-on-bajaj-markets20240401122618/,Users Can Make Spends Rewarding with Credit Cards on Bajaj Markets,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401114500-T802,20240401114500,indiatimes.com,https://marathi.indiatimes.com/business/share-bazaar/stock-market-today-updates-1st-april-2024-sensex-nifty-hit-record-high-on-first-day-of-fy25/articleshow/108933493.cms,"Today Stock Market Updates 1st April 2024 | बाजारासाठी शुभ सोमवार, मार्केटचे उत्साहवर्धक नवे उच्चांक; गुंतवणूकदारांची चांदी | Sensex, Nifty Hit Record High on First Day of FY25",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401161500-T2405,20240401161500,divyahimachal.com,https://www.divyahimachal.com/2024/04/market-rose-for-the-third-consecutive-day-sensex-crossed-74-thousand-points/,"लगातार तीसरे दिन चढ़ा बाजार, सेंसेक्स 74 हजार अंक के पार",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240401171500-259,20240401171500,livemint.com,https://www.livemint.com/market/market-stats/stocks-bajaj-finserv-share-price-nse-bse-s0003036,Bajaj Finserv Share Price Today - Bajaj Finserv Stock Price Live NSE/BSE,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Standalone Bajaj Finserv holding company
