gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20240101024500-T283,20240101024500,bhaskar.com,https://www.bhaskar.com/business/news/ola-electric-get-approval-pli-scheme-hdfc-raised-29829-crore-last-week-kawasaki-ninja-zx-6r-launched-today-132376224.html,"Ola Electric get approval PLI scheme HDFC raised ₹29,829 crore last week, Kawasaki Ninja ZX-6R launched today | ओला इलेक्ट्रिक PLI स्कीम की मंजूरी पाने वाली पहली कंपनी: बोइंग B737 मैक्स विमान का एक बोल्ट लूज मिला, कावासाकी निंजा ZX-6R आज लॉन्च होगी",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101033000-276,20240101033000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-200-11808861.html,Stock Market Today: Top 10 things to know before the market opens,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101050000-322,20240101050000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty-start-2024-on-a-muted-note-tracking-mixed-global-cues/articleshow/106432151.cms,"sensex today: Sensex, Nifty start 2024 on a muted note tracking mixed global cues",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101053000-624,20240101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/106432924.cms,Stock Market Sectors: Stock market update: Power stocks up as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101053000-163,20240101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106434754.cms,Stock Market Sectors: Stock market update: Mining stocks down as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101054500-461,20240101054500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/nifty-sensex-dip-expert-forecasts-goldilocks-scenario-for-markets/article67694588.ece,"Nifty, Sensex dip; expert forecasts Goldilocks scenario for markets",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101054500-0,20240101054500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-01-january-2024/article67692874.ece,Stock Market Live Updates: Sensex and Nifty trade weak despite positive undercurrent; Coal India gain over 1%,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101064500-406,20240101064500,indiatimes.com,https://telecom.economictimes.indiatimes.com/news/industry/lenders-to-pause-fresh-funding-to-vodafone-idea-report/106436118,"Lenders to pause fresh funding to Vodafone Idea: Report, Telecom News, ET Telecom",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101074500-T831,20240101074500,amarujala.com,https://www.amarujala.com/business/business-diary/sensex-opening-bell-share-market-opening-sensex-nifty-share-market-news-and-updates-2024-01-01,"Sensex Opening Bell Share Market Opening Sensex Nifty Share Market News And Updates - Amar Ujala Hindi News Live - Sensex Opening Bell:2024 में शेयर बाजार की कमजोर शुरुआत, सेंसेक्स 158 अंक टूटा, निफ्टी 21700 के करीब",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101080000-T53,20240101080000,tarunmitra.in,https://www.tarunmitra.in/article/10831/continuous-decline-in-the-stock-market-let-us-know-the,"शेयर बाजार में लगातार गिरावट, आइये जाने वैश्विक बाजार का हाल…",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101080000-336,20240101080000,rttnews.com,https://www.rttnews.com/3414024/sensex-nifty-marginally-lower-in-lackluster-trade.aspx,"Sensex, Nifty Marginally Lower In Lackluster Trade",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101084500-564,20240101084500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/mid-day-mood-indices-trade-flat-nifty-holds-21700-hdfc-bank-breaks-4-day-winning-streak-11982401.html,"Mid-day Mood | Indices trade flat, Nifty holds 21,700; HDFC Bank breaks 4-day winning streak",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101093000-769,20240101093000,prokerala.com,https://www.prokerala.com/news/articles/a1492802.html,"FMCG, IT stocks lead Sensex higher",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101093000-418,20240101093000,rttnews.com,https://www.rttnews.com/story.aspx?Id=3414024,"Sensex, Nifty Marginally Lower In Lackluster Trade",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101100000-61,20240101100000,livelaw.in,https://www.livelaw.in/round-ups/yearly/bombay-high-court-annual-digest-2023-part-ii-245593,Bombay High Court Annual Digest 2023: Part II,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101100000-10,20240101100000,menafn.com,https://menafn.com/1107673526/FMCG-IT-Stocks-Lead-Sensex-Higher,"FMCG, IT Stocks Lead Sensex Higher",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101103000-T673,20240101103000,tarunmitra.in,https://www.tarunmitra.in/article/10856/-draft--add-your-title,#Draft: Add Your Title,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101110000-0,20240101110000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/taking-stock-market-falls-from-record-highs-amid-high-volatility-banks-a-major-hit-11983501.html,Taking Stock: Market falls from record highs amid high volatility; banks a major hit,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240101111500-556,20240101111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/106453501.cms,Stock Market Sectors: Stock market update: Power stocks up as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
