gkg_record_id,date,source,document_url,headline,human_label,notes
20240101064500-177,20240101064500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-lombard-shares-gain-0-15-as-sensex-falls/articleshow/106438239.cms,ICICI Lombard Share Price: ICICI Lombard shares gain 0.15% as Sensex falls,NOT_RELEVANT,Standalone ICICI Lombard General Insurance news
20240101073000-503,20240101073000,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/reduce-gujarat-gas-target-of-rs-385-icici-securities-11982121.html,Reduce Gujarat Gas; target of Rs 385: ICICI Securities,NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240101074500-691,20240101074500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-pru-life-shares-down-0-43-as-nifty-drops/articleshow/106442692.cms,ICICI Pru Life Share Price: ICICI Pru Life shares down 0.43% as Nifty drops,NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240101100000-469,20240101100000,financialexpress.com,https://www.financialexpress.com/market/market-strategy-for-2024-icici-direct-sees-nifty-fair-value-pegged-at-25000-3352407/,Market strategy for 2024: ICICI Direct sees Nifty fair value pegged at 25000,NOT_RELEVANT,Subsidiary research recommendation on third-party stock / standalone subsidiary product
20240101171500-1,20240101171500,moneycontrol.com,https://www.moneycontrol.com/news/business/in-charts-six-sectors-to-watch-out-for-in-2024-according-to-icici-direct-11983331.html,"In Charts: Six sectors to watch out for in 2024, according to ICICI Direct",NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240102063000-776,20240102063000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1250-axis-securities/articleshow/106466076.cms,"ICICI Bank stocks: Buy ICICI Bank, target price Rs 1250: Axis Securities",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240102074500-773,20240102074500,businesstoday.in,https://www.businesstoday.in/markets/market-commentary/story/market-strategy-icici-securities-suggests-these-themes-stocks-for-wealth-creation-in-2024-411532-2024-01-02,"Market Strategy: ICICI Securities suggests these themes, stocks for wealth creation in 2024",NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240102074500-728,20240102074500,businesstoday.in,https://www.businesstoday.in/markets/stock-picks/story/adani-ports-icici-bank-jsw-energy-bharti-airtel-shares-among-jefferies-top-india-2024-picks-411491-2024-01-02,"Adani Ports, ICICI Bank, JSW Energy, Bharti Airtel shares among Jefferies' top India 2024 picks",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240102080000-16,20240102080000,indiatimes.com,https://economictimes.indiatimes.com/wealth/borrow/latest-loan-interest-rates-of-icici-bank-pnb-bank-of-india-and-yes-bank/articleshow/106478570.cms,"Latest loan interest rates of ICICI Bank, PNB, Bank of India and Yes Bank",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240102081500-370,20240102081500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-lombard-shares-down-0-78-as-sensex-falls/articleshow/106479424.cms,ICICI Lombard Share Price: ICICI Lombard shares down 0.78% as Sensex falls,NOT_RELEVANT,Standalone ICICI Lombard General Insurance news
20240102083000-397,20240102083000,livemint.com,https://www.livemint.com/market/stock-market-news/froth-overdone-in-midcaps-smallcaps-switch-to-largecaps-says-anish-tawakley-of-icici-prudential-amc-11704176130575.html,"Froth overdone in midcaps, smallcaps, switch to largecaps, says Anish Tawakley of ICICI Prudential AMC",NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240103014500-T1419,20240103014500,amarujala.com,https://www.amarujala.com/business/business-diary/four-banks-including-pnb-and-icici-made-loans-expensive-2024-01-03,"Four Banks Including Pnb And Icici Made Loans Expensive - Amar Ujala Hindi News Live - Loan:पीएनबी और Icici सहित चार बैंकों ने महंगा किया कर्ज, एक जनवरी से लागू हुआ नियम",NOT_RELEVANT,Ambiguous / non-material bare ICICI reference
20240103053000-652,20240103053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-delhivery-target-price-rs-500-icici-securities/articleshow/106503095.cms,"Delhivery stocks: Buy Delhivery, target price Rs 500: ICICI Securities",NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240103054500-1018,20240103054500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-coal-india-target-price-rs-435-icici-securities/articleshow/106503242.cms,"Coal India stocks: Buy Coal India, target price Rs 435: ICICI Securities",NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240103060000-98,20240103060000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-shipping-corporation-of-india-target-price-rs-185-icici-securities/articleshow/106503633.cms,"SCI stocks: Buy Shipping Corporation of India, target price Rs 185: ICICI Direct",NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240103061500-420,20240103061500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-pru-life-shares-rise-0-54-as-sensex-slides/articleshow/106504468.cms,ICICI Pru Life Share Price: ICICI Pru Life shares rise 0.54% as Sensex slides,NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240103061500-396,20240103061500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/analyst-call-tracker-banks-infra-dominate-dec-buy-lists-bajaj-finance-in-top-bets-of-2023-11991501.html,"Analyst Call Tracker: Banks, infra dominate Dec 'buy' lists; Bajaj Finance in top bets of 2023",NOT_RELEVANT,Unrelated candidate
20240103073000-281,20240103073000,indiatimes.com,https://economictimes.indiatimes.com/mf/analysis/top-corporate-bond-funds-offer-over-7-in-2023-icici-prudential-corporate-bond-fund-offers-7-60/articleshow/106506364.cms,Top corporate bond funds offer over 7% in 2023; ICICI Prudential Corporate Bond Fund offers 7.60%,NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240103090000-232,20240103090000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-lombard-shares-drop-2-72-as-sensex-falls/articleshow/106509883.cms,ICICI Lombard Share Price: ICICI Lombard shares drop 2.72% as Sensex falls,NOT_RELEVANT,Standalone ICICI Lombard General Insurance news
20240103094500-447,20240103094500,businesstoday.in,https://www.businesstoday.in/markets/stock-picks/story/paytm-sbi-axis-icici-kotak-bank-hdfc-bank-shares-bernstein-sees-up-to-47-upside-heres-why-411692-2024-01-03,"Paytm, SBI, Axis, ICICI, Kotak Bank, HDFC Bank shares: Bernstein sees up to 47% upside. Here's why",DIRECTLY_RELEVANT,Bare ICICI headline referring to parent bank financial results / stock
20240103103000-594,20240103103000,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-utkarsh-small-finance-bank-target-of-rs-70-icici-securities-11993251.html,Buy Utkarsh Small Finance Bank; target of Rs 70: ICICI Securities,NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240103113000-720,20240103113000,indiatimes.com,https://economictimes.indiatimes.com/wealth/invest/3-year-potd-interest-rate-hiked-fd-rates-of-sbi-vs-icici-bank-vs-hdfc-bank-vs-pnb-vs-post-office-time-deposit/articleshow/106516301.cms,3-year POTD interest rate hiked; FD rates of SBI vs ICICI Bank vs HDFC Bank vs PNB vs post office time deposit,DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240103123000-1198,20240103123000,prokerala.com,https://www.prokerala.com/news/articles/a1493470.html,SC adjourns hearing on CBI's plea against interim bail to ex-ICICI Bank chief Chanda Kochhar,DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240103143000-117,20240103143000,livemint.com,https://www.livemint.com/money/personal-finance/fd-rate-hikes-latest-fixed-deposit-rates-by-sbi-hdfc-bank-icici-bank-axis-bank-dcb-bank-bank-of-baroda-11704283999893.html,"FD rate hikes: Latest fixed deposit rates by 6 major lenders including SBI, HDFC Bank and ICICI Bank",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240103163000-1321,20240103163000,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-delhivery-target-of-rs-500-icici-securities-2-11993121.html,Buy Delhivery; target of Rs 500: ICICI Securities,NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240103163000-609,20240103163000,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-coal-india-target-of-rs-435-icici-securities-11993161.html,Buy Coal India; target of Rs 435: ICICI Securities,NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240103180000-777,20240103180000,pragativadi.com,https://pragativadi.com/bmc-icici-bank-join-hands-for-child-welfare-water-purifiers-provided-to-273-anganwadi-centres/,"BMC, ICICI Bank Join Hands for Child Welfare; Water Purifiers Provided to 273 Anganwadi Centres",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240104043000-932,20240104043000,indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-today-icici-bank-godrej-properties-among-top-6-trading-ideas-for-4-january/articleshow/106531484.cms,"icici bank shares: F&O stocks to buy today: ICICI Bank, Godrej Properties among top 6 trading ideas for 4 January",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240104054500-482,20240104054500,indiatimes.com,https://economictimes.indiatimes.com/mf/analysis/top-gilt-funds-offer-over-7-in-2023-icici-prudential-gilt-fund-offers-8-26/articleshow/106533023.cms,Top gilt funds offer over 7% in 2023; ICICI Prudential Gilt Fund offers 8.26%,NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240104054500-88,20240104054500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-jk-cement-target-price-rs-4138-icici-securities/articleshow/106533086.cms,"JK Cement stocks: Buy JK Cement, target price Rs 4138: ICICI Securities",NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240104054500-158,20240104054500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-the-ramco-cements-target-price-rs-1188-icici-securities/articleshow/106533232.cms,"Ramco Cements stocks: Buy The Ramco Cements, target price Rs 1188: ICICI Securities",NOT_RELEVANT,Standalone ICICI Securities brokerage research / business
20240104060000-92,20240104060000,hindustantimes.com,https://www.hindustantimes.com/business/pnb-hikes-fd-interest-rates-check-fixed-deposit-return-rates-for-sbi-icici-hdfc-and-more-101704346312373.html,"PNB hikes FD interest rates: Check fixed deposit return rates for SBI, ICICI",NOT_RELEVANT,Ambiguous / non-material bare ICICI reference
20240104073000-391,20240104073000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-lombard-shares-up-1-06-as-nifty-gains/articleshow/106536442.cms,ICICI Lombard Share Price: ICICI Lombard shares up 1.06% as Nifty gains,NOT_RELEVANT,Standalone ICICI Lombard General Insurance news
20240104081500-498,20240104081500,financialexpress.com,https://www.financialexpress.com/market/axis-bank-icici-bank-indusind-bank-sbi-bandhan-bank-remain-top-picks-for-jefferies-in-banking-sectornbsp-3355241/,"Axis Bank, ICICI Bank, IndusInd Bank, SBI, Bandhan Bank remain top picks for Jefferies in Banking sector - Market News",DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
20240104084500-1124,20240104084500,forbesindia.com,https://www.forbesindia.com/article/news/india-will-navigate-a-promising-but-challenging-investment-landscape-in-2024-icici-prudential-amcs-s-naren/90663/1,India Will Navigate A Promising But Challenging Investment Landscape In 2024: ICICI Prudential AMC's S Naren,NOT_RELEVANT,Standalone subsidiary mention without parent bank materiality
20240104091500-871,20240104091500,livemint.com,https://www.livemint.com/news/india/icici-bank-loan-fraud-case-sc-adjourns-cbi-plea-against-bail-to-chanda-kochhar-husband-next-hearing-on-jan-12-11704294521689.html,ICICI Bank-Videocon case: SC adjourns CBI plea against bail to Chanda Kochhar,DIRECTLY_RELEVANT,"ICICI Bank Q3 FY24 earnings, loan growth, FD rates, shares, or operations"
