gkg_record_id,headline,source,url,reason
20240401011500-627,Hot Stocks: Here's why you should pick ICICI Pru Life and Piramal Pharma for short term,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/hot-stocks-heres-why-you-should-pick-icici-pru-life-and-piramal-pharma-for-short-term-12551201.html,Filtered by BigQueryGKGExtractor
20240401044500-578,"ICICI Lombard stocks: Buy ICICI Lombard General Insurance Company, target price Rs 2000:  Motilal Oswal",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-lombard-general-insurance-company-target-price-rs-2000-motilal-oswal/articleshow/108931267.cms,Filtered by BigQueryGKGExtractor
20240401050000-416,ICICI Prudential Bluechip Fund gave 15% returns in three years; should you invest?,indiatimes.com,https://economictimes.indiatimes.com/mf/analysis/this-large-cap-mutual-fund-gave-15-returns-in-three-years-should-you-invest/articleshow/108931937.cms,Filtered by BigQueryGKGExtractor
20240401053000-637,ICICI Pru Life Share Price: Shares of ICICI Pru Life  rise  as Nifty  gains,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-icici-pru-life-rise-as-nifty-gains/articleshow/108932490.cms,Filtered by BigQueryGKGExtractor
20240401063000-398,"Hot Stocks: Brokerage view on GAIL, ICICI Lombard, PNB Housing and Infosys",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-gail-icici-lombard-pnb-housing-and-infosys/articleshow/108934409.cms,Filtered by BigQueryGKGExtractor
20240401064500-68,ICICI Lombard Share Price: Share price of ICICI Lombard  rises  as Nifty  strengthens,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-icici-lombard-rises-as-nifty-strengthens/articleshow/108934936.cms,Filtered by BigQueryGKGExtractor
20240401070000-50,The Glitter Of Premiumization Driving Growth Of McDonald's And KFC: ICICI Securities,freepressjournal.in,https://www.freepressjournal.in/business/the-glitter-of-premiumization-driving-growth-of-mcdonalds-and-kfc-icici-securities,Filtered by BigQueryGKGExtractor
20240401070000-107,"Business News | Premiumization is Driving Growth of Food Chains Like KFC, McDonald's, Popeyes: ICICI Securities",latestly.com,https://www.latestly.com/agency-news/business-news-premiumization-is-driving-growth-of-food-chains-like-kfc-mcdonalds-popeyes-icici-securities-5860232.html,Filtered by BigQueryGKGExtractor
20240401073000-709,"Premiumization is driving growth of food chains like KFC, McDonald's, Popeyes: ICICI Securities",bignewsnetwork.com,https://www.bignewsnetwork.com/news/274220942/premiumization-is-driving-growth-of-food-chains-like-kfc-mcdonald-popeyes-icici-securities,Filtered by BigQueryGKGExtractor
20240401081500-519,"Premiumization is driving growth of food chains like KFC, McDonald's, Popeyes: ICICI Securities",webindia123.com,https://news.webindia123.com/news/Articles/Business/20240401/4183447.html,Filtered by BigQueryGKGExtractor
20240401081500-1066,ICICI Lombard General: Strong digital ecosystem underpinned by Cloud,indiainfoline.com,https://www.indiainfoline.com/news/invest-right/icici-lombard-general-strong-digital-ecosystem-underpinned-by-cloud,Filtered by BigQueryGKGExtractor
20240401083000-687,"Premiumization is driving growth of food chains like KFC, McDonald's, Popeyes: ICICI Securities",aninews.in,https://aninews.in/news/business/premiumization-is-driving-growth-of-food-chains-like-kfc-mcdonalds-popeyes-icici-securities20240401105039/,Filtered by BigQueryGKGExtractor
20240401084500-721,Buy Astra Microwave Products; target of Rs 800: ICICI Direct,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-astra-microwave-products-target-of-rs-800-icici-direct-12553921.html,Filtered by BigQueryGKGExtractor
20240401084500-328,Buy PVR Inox; target of Rs 2240: ICICI Direct,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-pvr-inox-target-of-rs-2240-icici-direct-12553891.html,Filtered by BigQueryGKGExtractor
20240401090000-456,ICICI Lombard shares rise after analysts meet; check brokerage views & target prices,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/icici-lombard-shares-rise-after-analysts-meet-check-brokerage-views-target-prices-423672-2024-04-01,Filtered by BigQueryGKGExtractor
20240401111500-819,"Premiumization is driving growth of food chains like KFC, McDonald's, Popeyes: ICICI Securities, ET Retail",indiatimes.com,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/premiumization-is-driving-growth-of-food-chains-like-kfc-mcdonalds-popeyes-icici-securities/108940662,Filtered by BigQueryGKGExtractor
20240401130000-904,"ICICI Lombard investors need to look beyond tech edge, good execution",livemint.com,https://www.livemint.com/market/mark-to-market/icici-lombard-investors-need-to-look-beyond-tech-edge-good-execution-11711969913551.html,Filtered by BigQueryGKGExtractor
20240402064500-709,ICICI Pru Life Share Price: ICICI Pru Life stock price  up  0.39 per cent as Sensex  slides,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-pru-life-stock-price-up-0-39-per-cent-as-sensex-slides/articleshow/108964614.cms,Filtered by BigQueryGKGExtractor
20240402064500-1010,Buy ICICI Lombard General Insurance Company; target of Rs 1950: Sharekhan,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-icici-lombard-general-insurance-company-target-of-rs-1950-sharekhan-12559761.html,Filtered by BigQueryGKGExtractor
20240402073000-649,ICICI Lombard Share Price: Shares of ICICI Lombard  rise  as Nifty  drops,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-icici-lombard-rise-as-nifty-drops/articleshow/108965895.cms,Filtered by BigQueryGKGExtractor
20240402151500-103,ICICI Securities Gets Rs 66.70 Lakh GST Demand Order,india.com,https://zeenews.india.com/companies/icici-securities-gets-rs-66-70-lakh-gst-demand-order-2736537.html,Filtered by BigQueryGKGExtractor
20240403014500-1340,ICICI Bank Warns Customers | Udaipur Kiran,udaipurkiran.com,https://udaipurkiran.com/tag/icici-bank-warns-customers/,Filtered by BigQueryGKGExtractor
20240403014500-375,bank customer care call | Udaipur Kiran,udaipurkiran.com,https://udaipurkiran.com/tag/bank-customer-care-call/,Filtered by BigQueryGKGExtractor
20240403014500-524,bank fake customer care call. | Udaipur Kiran,udaipurkiran.com,https://udaipurkiran.com/tag/bank-fake-customer-care-call/,Filtered by BigQueryGKGExtractor
20240403014500-96,cooperative banks | Udaipur Kiran,udaipurkiran.com,https://udaipurkiran.com/tag/cooperative-banks/,Filtered by BigQueryGKGExtractor
20240403014500-1153,customer care funny calls | Udaipur Kiran,udaipurkiran.com,https://udaipurkiran.com/tag/customer-care-funny-calls/,Filtered by BigQueryGKGExtractor
20240403014500-1290,customer education | Udaipur Kiran,udaipurkiran.com,https://udaipurkiran.com/tag/customer-education/,Filtered by BigQueryGKGExtractor
20240403014500-481,delhi police warns users of fake icici bank banking webpage,udaipurkiran.com,https://udaipurkiran.com/tag/delhi-police-warns-users-of-fake-icici-bank-banking-webpage/,Filtered by BigQueryGKGExtractor
