article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis
20240101220000-503,INFY.NS,Rohan Murty: Sudha Murty and Narayana Murthy's son who is carving his path beyond the shadows of Infosys - Lifestyle News,https://www.financialexpress.com/lifestyle/rohan-murty-sudha-murty-and-narayana-murthys-son-who-is-carving-his-path-beyond-the-shadows-of-infosys/3352734/,https://www.financialexpress.com/lifestyle/rohan-murty-sudha-murty-and-narayana-murthys-son-who-is-carving-his-path-beyond-the-shadows-of-infosys/3352734/,financialexpress.com,2024-01-02T03:30:00+05:30,2024-01-02,gdelt_gkg_observation
20240102033000-57,INFY.NS,Infosys (NYSE:INFY) Upgraded to Buy by StockNews.com,https://www.etfdailynews.com/2024/01/01/infosys-nyseinfy-upgraded-to-buy-by-stocknews-com/,https://www.etfdailynews.com/2024/01/01/infosys-nyseinfy-upgraded-to-buy-by-stocknews-com/,etfdailynews.com,2024-01-02T09:00:00+05:30,2024-01-02,gdelt_gkg_observation
20240102034500-796,INFY.NS,"Infosys, TCS, Wipro, Cyient, Mphasis, Persistent, Coforge shares: What to watch in Q3 results?",https://www.businesstoday.in/markets/stock-picks/story/infosys-tcs-wipro-cyient-mphasis-persistent-coforge-shares-what-to-watch-in-q3-results-411483-2024-01-02,https://www.businesstoday.in/markets/stock-picks/story/infosys-tcs-wipro-cyient-mphasis-persistent-coforge-shares-what-to-watch-in-q3-results-411483-2024-01-02,businesstoday.in,2024-01-02T09:15:00+05:30,2024-01-02,gdelt_gkg_observation
20240102104500-449,INFY.NS,"'Never forget value of values': Co-founder and Former CEO Infosys, Shibulal shares insights on education, healthcare and more with Yuva Unstoppable school students - Education News",https://www.financialexpress.com/jobs-career/education/never-forget-value-of-values-co-founder-and-former-ceo-infosys-shibulal-shares-insights-on-education-healthcare-and-more-with-yuva-unstoppable-school-students/3353101/,https://www.financialexpress.com/jobs-career/education/never-forget-value-of-values-co-founder-and-former-ceo-infosys-shibulal-shares-insights-on-education-healthcare-and-more-with-yuva-unstoppable-school-students/3353101/,financialexpress.com,2024-01-02T16:15:00+05:30,2024-01-03,gdelt_gkg_observation
20240102143000-T2466,INFY.NS,"El CEO de Infosys pidió trabajar 70 horas por semana. Luego argumentó que él ""solía trabajar al menos entre 85 y 90 horas""",https://www.genbeta.com/a-fondo/ceo-infosys-pidio-trabajar-70-horas-semana-luego-argumento-que-solia-trabajar-al-85-90-horas,https://www.genbeta.com/a-fondo/ceo-infosys-pidio-trabajar-70-horas-semana-luego-argumento-que-solia-trabajar-al-85-90-horas,genbeta.com,2024-01-02T20:00:00+05:30,2024-01-03,gdelt_gkg_observation
20240103043000-174,INFY.NS,Infosys vs TCS:Who felt winter chills stronger than the other in Q3?,https://economictimes.indiatimes.com/markets/stocks/news/infosys-vs-tcswho-felt-winter-chills-stronger-than-the-other-in-q3/articleshow/106501482.cms,https://economictimes.indiatimes.com/markets/stocks/news/infosys-vs-tcswho-felt-winter-chills-stronger-than-the-other-in-q3/articleshow/106501482.cms,indiatimes.com,2024-01-03T10:00:00+05:30,2024-01-03,gdelt_gkg_observation
20240103054500-571,INFY.NS,"Meet Rashmi Sharma, who left job at Infosys, prepared for civil services exam while taking care of son, has now become…",https://www.dnaindia.com/india/report-meet-rashmi-sharma-who-left-job-at-infosys-prepared-for-civil-services-exam-has-now-become-3073364,https://www.dnaindia.com/india/report-meet-rashmi-sharma-who-left-job-at-infosys-prepared-for-civil-services-exam-has-now-become-3073364,dnaindia.com,2024-01-03T11:15:00+05:30,2024-01-03,gdelt_gkg_observation
20240103074500-163,INFY.NS,"TCS, Infosys, HCL Tech, Wipro, TechM: Are IT shares overvalued? Stock picks by analysts ahead of Q3 results",https://www.businesstoday.in/markets/stocks/story/tcs-infosys-hcl-tech-wipro-techm-are-it-shares-overvalued-stock-picks-by-analysts-ahead-of-q3-results-411669-2024-01-03,https://www.businesstoday.in/markets/stocks/story/tcs-infosys-hcl-tech-wipro-techm-are-it-shares-overvalued-stock-picks-by-analysts-ahead-of-q3-results-411669-2024-01-03,businesstoday.in,2024-01-03T13:15:00+05:30,2024-01-03,gdelt_gkg_observation
20240103093000-668,INFY.NS,Tech Mahindra appoints former Infosys EVP Richard Lobo as Chief People Officer,https://www.moneycontrol.com/news/business/companies/tech-mahindra-appoints-former-infosys-evp-richard-lobo-as-chief-people-officer-11992991.html,https://www.moneycontrol.com/news/business/companies/tech-mahindra-appoints-former-infosys-evp-richard-lobo-as-chief-people-officer-11992991.html,moneycontrol.com,2024-01-03T15:00:00+05:30,2024-01-03,gdelt_gkg_observation
20240103094500-522,INFY.NS,"Infosys, TCS, HCLTech: Key reasons why IT firms' Q3 results may be muted",https://www.businesstoday.in/markets/company-stock/story/infosys-tcs-wipro-key-reasons-why-it-firms-q3-results-may-be-muted-411696-2024-01-03,https://www.businesstoday.in/markets/company-stock/story/infosys-tcs-wipro-key-reasons-why-it-firms-q3-results-may-be-muted-411696-2024-01-03,businesstoday.in,2024-01-03T15:15:00+05:30,2024-01-03,gdelt_gkg_observation
20240103103000-367,INFY.NS,Tech Mahindra Picks Ex Infosys Exec Richard Lobo As Chief People Officer - BW Businessworld,https://www.businessworld.in/article/Tech-Mahindra-Picks-Ex-Infosys-Exec-Richard-Lobo-As-Chief-People-Officer/03-01-2024-504480/,https://www.businessworld.in/article/Tech-Mahindra-Picks-Ex-Infosys-Exec-Richard-Lobo-As-Chief-People-Officer/03-01-2024-504480/,businessworld.in,2024-01-03T16:00:00+05:30,2024-01-04,gdelt_gkg_observation
20240103103000-677,INFY.NS,Tech Mahindra on boards former Infosys executive Richard Lobo as CPO,https://www.hindustantimes.com/business/tech-mahindra-on-boards-former-infosys-executive-richard-lobo-as-chief-people-officer-101704273939410.html,https://www.hindustantimes.com/business/tech-mahindra-on-boards-former-infosys-executive-richard-lobo-as-chief-people-officer-101704273939410.html,hindustantimes.com,2024-01-03T16:00:00+05:30,2024-01-04,gdelt_gkg_observation
20240103120000-123,INFY.NS,"Meet man with Rs 19980 cr net worth, left govt job to co-found Rs 617000 cr company, he was Narayana Murthy's...",https://www.dnaindia.com/business/report-meet-k-dinesh-with-rs-19980-cr-net-worth-left-govt-job-to-co-found-rs-617000-cr-firm-he-was-narayana-murthy-s-3073402,https://www.dnaindia.com/business/report-meet-k-dinesh-with-rs-19980-cr-net-worth-left-govt-job-to-co-found-rs-617000-cr-firm-he-was-narayana-murthy-s-3073402,dnaindia.com,2024-01-03T17:30:00+05:30,2024-01-04,gdelt_gkg_observation
20240103181500-1423,INFY.NS,Tech Mahindra appoints ex-Infosys veteran Richard Lobo as chief people officer,https://www.ibtimes.co.in/who-richard-lobo-tech-mahindra-appoints-ex-infosys-veteran-chief-people-officer-865129,https://www.ibtimes.co.in/who-richard-lobo-tech-mahindra-appoints-ex-infosys-veteran-chief-people-officer-865129,ibtimes.co.in,2024-01-03T23:45:00+05:30,2024-01-04,gdelt_gkg_observation
20240103183000-570,INFY.NS,Tech Mahindra appoints former Infosys veteran Richard Lobo as Chief People Officer,https://www.devdiscourse.com/article/technology/2764960-tech-mahindra-appoints-former-infosys-veteran-richard-lobo-as-chief-people-officer,https://www.devdiscourse.com/article/technology/2764960-tech-mahindra-appoints-former-infosys-veteran-richard-lobo-as-chief-people-officer,devdiscourse.com,2024-01-04T00:00:00+05:30,2024-01-04,gdelt_gkg_observation
20240103193000-66,INFY.NS,Tech Mahindra appoints former Infosys EVP Richard Lobo as its chief people officer,https://www.financialexpress.com/business/industry-tech-mahindra-appoints-former-infosys-evp-richard-lobo-as-its-chief-people-officer-3354654/,https://www.financialexpress.com/business/industry-tech-mahindra-appoints-former-infosys-evp-richard-lobo-as-its-chief-people-officer-3354654/,financialexpress.com,2024-01-04T01:00:00+05:30,2024-01-04,gdelt_gkg_observation
20240103220000-733,INFY.NS,Infosys Cancels $1.5 Billion Deal - Nearshore Americas,https://nearshoreamericas.com/infosys-cancels-1-5-billion-deal/,https://nearshoreamericas.com/infosys-cancels-1-5-billion-deal/,nearshoreamericas.com,2024-01-04T03:30:00+05:30,2024-01-04,gdelt_gkg_observation
20240104040000-57,INFY.NS,"JPMorgan 'neutral' on IT, upgrades Infosys, TCS, HCLTech, others on rate pivot, base effect",https://www.moneycontrol.com/news/business/markets/jpmorgan-neutral-on-it-upgrades-infosys-tcs-hcltech-others-on-rate-pivot-base-effect-11996251.html,https://www.moneycontrol.com/news/business/markets/jpmorgan-neutral-on-it-upgrades-infosys-tcs-hcltech-others-on-rate-pivot-base-effect-11996251.html,moneycontrol.com,2024-01-04T09:30:00+05:30,2024-01-04,gdelt_gkg_observation
