gkg_record_id,date,source,document_url,headline,phase1_label,authoritative_label,previous_label,change_reason,policy_basis,notes,audit_version
20240101003000-591,20240101003000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/after-a-lacklustre-2023-will-2024-be-a-year-of-mega-caps/articleshow/106428572.cms,"market: After a lacklustre 2023, will 2024 be a year of mega-caps?",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101010000-720,20240101010000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/15-stocks-across-m-caps-to-beat-market-returns/articleshow/106428706.cms,market: 15 stocks across m-caps to beat market returns,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101010000-201,20240101010000,indiatimes.com,https://economictimes.indiatimes.com/tech/technology/india-job-scene-sees-early-signs-of-disruption-from-ai/articleshow/106422589.cms,artificial intelligence: India job scene sees early signs of disruption from AI,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101024500-T283,20240101024500,bhaskar.com,https://www.bhaskar.com/business/news/ola-electric-get-approval-pli-scheme-hdfc-raised-29829-crore-last-week-kawasaki-ninja-zx-6r-launched-today-132376224.html,"Ola Electric get approval PLI scheme HDFC raised ₹29,829 crore last week, Kawasaki Ninja ZX-6R launched today | ओला इलेक्ट्रिक PLI स्कीम की मंजूरी पाने वाली पहली कंपनी: बोइंग B737 मैक्स विमान का एक बोल्ट लूज मिला, कावासाकी निंजा ZX-6R आज लॉन्च होगी",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101033000-276,20240101033000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-200-11808861.html,Stock Market Today: Top 10 things to know before the market opens,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101040000-387,20240101040000,cnbc.com,https://www.cnbc.com/2024/01/01/its-a-big-election-year-around-the-world-heres-where-the-pros-are-watching.html,It's a big election year around the world. Here's where the pros are watching,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101053000-106,20240101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/106433321.cms,active stocks: Share market update: Most active stocks of the day in terms of total traded value,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101053000-137,20240101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/106433494.cms,52 week high stocks: Stock market update: Stocks that hit 52-week lows on NSE,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101060000-361,20240101060000,news18.com,https://www.news18.com/business/stock-market-updates-today-news-sensex-nifty-january-1-8724065.html,"Stock Market Updates: 2024 Sees A Flat Start, Sensex Down 207 Pts, Nifty Declines By 46 Pts",NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
20240101064500-590,20240101064500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/106437626.cms,share market: Share market update: Most active stocks on D-Street today in terms of volume,NOT_RELEVANT,NOT_RELEVANT,NOT_RELEVANT,Consistent label across audits,Unrelated entity,Unrelated candidate,INFY_JAN2024_GROUND_TRUTH_V2
