gkg_record_id,headline,source,url,reason
20241001020000-187,IT services hiring: IT's fresher hiring may double in FY25 on demand rebound,indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/its-fresher-hiring-may-double-in-fy25-on-demand-rebound/articleshow/113826767.cms,Filtered by BigQueryGKGExtractor
20241001024500-T1026,women employees ratio in indian companies reached 36 6 percent in current year print exp zws 70 | &#x935;&#x93F;&#x936;&#x94D;&#x932;&#x947;&#x937;&#x923; : &#x92D;&#x93E;&#x930;&#x924;&#x940;&#x92F; &#x92E;&#x939;&#x93F;&#x932;&#x93E;&#x902;&#x91A;&#x93E; &#x91F;&#x915;&#x94D;&#x915;&#x93E; &#x935;&#x93E;&#x922;&#x924;&#x94B;&#x92F; ?,loksatta.com,https://www.loksatta.com/explained/women-employees-ratio-in-indian-companies-reached-36-6-percent-in-current-year-print-exp-zws-70-4626382/,Filtered by BigQueryGKGExtractor
20241001030000-T6,1.21 lakh crore increase in market capitalization of 8 companies,tarunbharat.com,https://www.tarunbharat.com/1-21-lakh-crore-increase-in-market-capitalization-of-8-companies/,Filtered by BigQueryGKGExtractor
20241001034500-194,Building a Retail AI Strategy to Improve Business Operations,marketbusinessnews.com,https://marketbusinessnews.com/building-a-retail-ai-strategy-to-improve-business-operations/400093/,Filtered by BigQueryGKGExtractor
20241001040000-398,Weekly Market Outlook: Key levels & top sectors to watch ahead of Q2 earnings,indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/weekly-market-outlook-key-levels-top-sectors-to-watch-ahead-of-q2-earnings/articleshow/113823854.cms,Filtered by BigQueryGKGExtractor
20241001041500-184,China rally raises concerns of outflows in India's stock market,indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/china-rally-raises-concerns-of-outflows-in-indias-stock-market/articleshow/113833301.cms,Filtered by BigQueryGKGExtractor
20241001043000-176,"Banking stocks: IT, bank stocks power Sensex 300 points higher, Nifty near 25,900",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-bank-stocks-power-sensex-300-points-higher-nifty-near-25900/articleshow/113835156.cms,Filtered by BigQueryGKGExtractor
20241001043000-1071,Stock Market Live Updates: Sensex and Nifty start strong; investors eye September auto sales reports,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-1-october-2024/article68701832.ece,Filtered by BigQueryGKGExtractor
20241001050000-468,"Nifty, Sensex open flat, Indian markets in consolidation phase after shift in foreign inflows",webindia123.com,https://news.webindia123.com/news/Articles/Business/20241001/4240964.html,Filtered by BigQueryGKGExtractor
20241001050000-281,"Day trading guide for October 1, 2024: Intraday supports, resistances for Nifty50 stocks",thehindubusinessline.com,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-01/article68701282.ece,Filtered by BigQueryGKGExtractor
20241001050000-553,Stock Market Sectors: Stock market update: Fertilisers stocks  up  as market  rises,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/113836201.cms,Filtered by BigQueryGKGExtractor
20241001050000-659,Stock Market Sectors: Stock market update: Mining stocks  mixed  as market  rises,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/articleshow/113836313.cms,Filtered by BigQueryGKGExtractor
20241001051500-633,"Sensex, Nifty rebound after two sessions of losses; IT, auto stocks lead rally",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/sensex-nifty-rebound-after-two-sessions-of-losses-it-auto-stocks-lead-rally-12832998.html,Filtered by BigQueryGKGExtractor
20241001051500-T412,&#x92A;&#x932;&#x91F; &#x917;&#x908; &#x905;&#x928;&#x93F;&#x932; &#x905;&#x902;&#x92C;&#x93E;&#x928;&#x940; &#x915;&#x940; &#x915;&#x93F;&#x938;&#x94D;&#x92E;&#x924;! &#x92E;&#x939;&#x940;&#x928;&#x947; &#x915;&#x947; &#x92A;&#x939;&#x932;&#x947; &#x939;&#x940; &#x926;&#x93F;&#x928; &#x936;&#x947;&#x92F;&#x930;&#x94B;&#x902; &#x92E;&#x947;&#x902; &#x91C;&#x92C;&#x930;&#x926;&#x938;&#x94D;&#x924; &#x909;&#x91B;&#x93E;&#x932;,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/anil-ambanis-reliance-power-and-reliance-infra-jump-first-day-of-october/articleshow/113836188.cms,Filtered by BigQueryGKGExtractor
20241001053000-20,"After A Cataclysmic End To September, Sensex & Nifty Begin October On A Positive Note In Green",freepressjournal.in,https://www.freepressjournal.in/business/after-a-cataclysmic-end-to-september-sensex-nifty-begin-october-on-a-positive-note-in-green,Filtered by BigQueryGKGExtractor
20241001053000-253,Stock Market Sectors: Stock market update: Power stocks  up  as market  rises,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/113837196.cms,Filtered by BigQueryGKGExtractor
20241001054500-208,active stocks: Share market update: Most active stocks of the day in terms of total traded value,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/113837839.cms,Filtered by BigQueryGKGExtractor
20241001061500-158,Indices: Stock market update: Nifty IT index  advances  0.44% in  a weak  market,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-advances-0-44-in-a-weak-market/articleshow/113838483.cms,Filtered by BigQueryGKGExtractor
