audit_id,article_id,headline,source,url,trading_date,timestamp_basis,match_category,published_at,seen_at,gkg_record_id,human_label,human_notes
ITC_AUDIT_001,d3c99da04affc85d838beb008673531a0ad6be91,"ITC stocks: Buy ITC, target price Rs 494.5: Nuvama Wealth",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-itc-target-price-rs-494-5-nuvama-wealth/articleshow/106435810.cms,2024-01-01,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-01T11:30:00+05:30,20240101060000-296,DIRECTLY_RELEVANT,Direct ITC Limited corporate/financial intelligence.
ITC_AUDIT_002,1d94b9e710be5a5d9c1cb1c636f16bd28b3d7f3c,"As India gallops, so will FMCG industry: Sanjiv Puri, ITC CMD, ET Retail",indiatimes.com,https://retail.economictimes.indiatimes.com/news/food-entertainment/personal-care-pet-supplies-liquor/as-india-gallops-so-will-fmcg-industry-sanjiv-puri-itc-cmd/106455426,2024-01-02,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-01T19:00:00+05:30,20240101133000-480,DIRECTLY_RELEVANT,Direct ITC Limited corporate/financial intelligence.
ITC_AUDIT_003,9e916436a40e99db38d09cbe24eac1e68b5c43fe,"ITC joins hands with Microsoft, Skymet to insulate tobacco farmers from weather vagaries",thehindubusinessline.com,https://www.thehindubusinessline.com/economy/agri-business/itc-joins-hands-with-microsoft-skymet-to-insulate-tobacco-farmers-from-weather-vagaries/article67695357.ece,2024-01-02,publisher_published_at,D: Bare ITC (Contextual Match),2024-01-01T18:45:00+05:30,2024-01-01T19:45:00+05:30,20240101141500-717,DIRECTLY_RELEVANT,Direct ITC Limited corporate/financial intelligence.
ITC_AUDIT_004,68bc4af7f1225c5b1c739cf8b15bb06e1c46d3ad,Business Analyst | ITC - Пошук роботи в IT інкогніто,itc.ua,https://itc.ua/jobs/candidate/3lh5epqfohgkc,2024-01-03,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-02T19:45:00+05:30,20240102141500-608,NOT_RELEVANT,itc.ua Ukrainian tech/job portal domain collision.
ITC_AUDIT_005,8f5e159487db2ddda0f593e669b0c87f0a12f745,"Global Pipe Tobacco Market Report 2023: Industry Size,",globenewswire.com,https://www.globenewswire.com/news-release/2024/01/02/2802780/0/en/Global-Pipe-Tobacco-Market-Report-2023-Industry-Size-Share-Trends-Opportunity-and-Forecast-2018-2028F.html,2024-01-03,publisher_published_at,E: Other Accepted Match Path,2024-02-01T05:30:00+05:30,2024-01-02T22:00:00+05:30,20240102163000-25,NOT_RELEVANT,Academic/health policy article on tobacco/nicotine.
ITC_AUDIT_006,2e66ffa5a01a5736ba45750871db276165e98e1a,Investegate | Company Announcement,investegate.co.uk,https://www.investegate.co.uk:443/announcement/rns/imperial-brands-finance-netherlands-b-v---yx81/publication-of-notices-to-noteholders/7971700,2024-01-03,gdelt_gkg_observation,E: Other Accepted Match Path,,2024-01-02T23:00:00+05:30,20240102173000-1328,NOT_RELEVANT,Incidental reference without material ITC economic context.
ITC_AUDIT_007,293ea860e6401c6101edf9a7b5a5c710f8a01d58,Investegate | Company Announcement,investegate.co.uk,https://www.investegate.co.uk:443/announcement/rns/imperial-brands-finance-plc--94jx/publication-of-notices-to-noteholders/7971677,2024-01-03,gdelt_gkg_observation,E: Other Accepted Match Path,,2024-01-02T23:00:00+05:30,20240102173000-1,NOT_RELEVANT,Incidental reference without material ITC economic context.
ITC_AUDIT_008,17fd3f11ce4e932fcd2799338c845954c2e405ab,Global Pipe Tobacco Market Report 2023: A $95+ Million Market - Evolving Trade Policies and Currency Fluctuations Shape Pipe Tobacco Landscape,prnewswire.com,https://www.prnewswire.com/news-releases/global-pipe-tobacco-market-report-2023-a-95-million-market---evolving-trade-policies-and-currency-fluctuations-shape-pipe-tobacco-landscape-302024649.html,2024-01-03,gdelt_gkg_observation,E: Other Accepted Match Path,,2024-01-03T08:00:00+05:30,20240103023000-1163,NOT_RELEVANT,Academic/health policy article on tobacco/nicotine.
ITC_AUDIT_009,830d3198c83179d727b21286ffc1010e58ac5076,Data Analyst/Business Intelligence Developer | ITC - Пошук роботи в IT інкогніто,itc.ua,https://itc.ua/jobs/candidate/cy52rlq0r3kk,2024-01-04,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-03T19:30:00+05:30,20240103140000-222,NOT_RELEVANT,itc.ua Ukrainian tech/job portal domain collision.
ITC_AUDIT_010,75c246c51fc7d061a8c5250ad2dc0ec257b62545,Mixed Picture | In focus: A look back at 2023 trends,talkingretail.com,https://www.talkingretail.com/advice/category-management/mixed-picture-in-focus-trends-of-2023-03-01-2024,2024-01-04,publisher_published_at,E: Other Accepted Match Path,2024-01-03T19:54:00+05:30,2024-01-03T23:30:00+05:30,20240103180000-1071,NOT_RELEVANT,Incidental reference without material ITC economic context.
ITC_AUDIT_011,2a0c3c8ae565d135de5fc7e8f28a3ca2f37d4413,"Stock recommendations by market analysts for January 4, 2024: ITC, Berger Paints and IRFC",businesstoday.in,https://www.businesstoday.in/visualstories/stock/stock-recommendations-by-market-analysts-for-january-4-2024-itc-berger-paints-and-irfc-86250-04-01-2024,2024-01-04,publisher_published_at,D: Bare ITC (Contextual Match),2024-01-04T06:33:00+05:30,2024-01-04T08:30:00+05:30,20240104030000-941,INDIRECTLY_RELEVANT,Broad market/sector or multi-company roundup featuring ITC.
ITC_AUDIT_012,9321a3e5522e27770005339592904e78d9dc5f6f,"In non-cigarettes push, how ITC built more than 25 FMCG mother brands",rediff.com,https://www.rediff.com/business/special/in-non-cigarettes-push-how-itc-built-more-than-25-fmcg-mother-brands/20240104.htm,2024-01-05,publisher_published_at,D: Bare ITC (Contextual Match),2024-01-04T14:29:00+05:30,2024-01-04T17:15:00+05:30,20240104114500-806,DIRECTLY_RELEVANT,Direct ITC Limited corporate/financial intelligence.
ITC_AUDIT_013,83056c53783174aae13fa6d211d4342a567e3195,ITC: Stock Guide: How ITC reinvented its tobacco legacy,indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/stock-guide-how-itc-reinvented-its-tobacco-legacy/articleshow/106511623.cms,2024-01-05,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-05T08:00:00+05:30,20240105023000-864,DIRECTLY_RELEVANT,Direct ITC Limited corporate/financial intelligence.
ITC_AUDIT_014,2a6106ec5babcd3e2116a0e4ea124ae101139a86,"Rs 8,800-crore worth block deals take place this week; ITC, Vodafone Idea among stocks with significant action",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/rs-8800-crore-worth-block-deals-take-place-this-week-itc-vodafone-idea-among-stocks-with-significant-action/articleshow/106590826.cms,2024-01-08,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-06T12:00:00+05:30,20240106063000-29,INDIRECTLY_RELEVANT,Broad market/sector or multi-company roundup featuring ITC.
ITC_AUDIT_015,509fa7227a9d81c6e96f450fafb391431046f69d,"GST Detects 29,000 Firms Involved In Fake ITC Claims Worth ₹44,000 Crore: All You Need To Know",freepressjournal.in,https://www.freepressjournal.in/india/gst-detects-29000-firms-involved-in-fake-itc-claims-worth-44000-crore-all-you-need-to-know,2024-01-08,publisher_published_at,D: Bare ITC (Contextual Match),2024-01-07T19:42:00+05:30,2024-01-07T20:00:00+05:30,20240107143000-31,NOT_RELEVANT,GST Input Tax Credit (ITC) tax court / fraud news.
ITC_AUDIT_016,a067fcfd6a459c703b6807d6e793a81d33ab2b4f,"GST officers detect over 29,000 bogus firms involved in fake ITC claims of Rs 44,000 crore",financialexpress.com,https://www.financialexpress.com/policy/economy-gst-officers-detect-over-29000-bogus-firms-involved-in-fake-itc-caims-of-rs-44000-crore-3357974,2024-01-08,publisher_published_at,D: Bare ITC (Contextual Match),2024-01-07T20:34:00+05:30,2024-01-08T00:30:00+05:30,20240107190000-775,NOT_RELEVANT,GST Input Tax Credit (ITC) tax court / fraud news.
ITC_AUDIT_017,f43f4a0b8872ace598f3906e523ee3bfe59173b4,"GST officers detect over 29,000 bogus firms involved in fake ITC claims of Rs 44,000 crore",tribuneindia.com,https://www.tribuneindia.com/news/business/gst-officers-detect-over-29-000-bogus-firms-involved-in-fake-itc-claims-of-rs-44-000-crore-579142,2024-01-08,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-08T00:30:00+05:30,20240107190000-702,NOT_RELEVANT,GST Input Tax Credit (ITC) tax court / fraud news.
ITC_AUDIT_018,33b33b665af85e0b0cef2f98fe816bbfaed9b14c,"GST officers detect over 29,000 bogus firms involved in fake ITC claims of Rs 44,000 crore",moneycontrol.com,https://www.moneycontrol.com/news/business/gst-officers-detect-over-29000-bogus-firms-involved-in-fake-itc-claims-of-rs-44000-crore-12012941.html,2024-01-08,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-01-08T08:15:00+05:30,20240108024500-475,NOT_RELEVANT,GST Input Tax Credit (ITC) tax court / fraud news.
ITC_AUDIT_019,460cee67576d0548a7eba7a21a38e14191150d1c,Minister Holland right to call out Imperial Tobacco: Quebec Coalition for Tobacco Control,hilltimes.com,https://www.hilltimes.com/story/2024/01/08/407038/407038,2024-01-08,gdelt_gkg_observation,A: Explicit ITC Limited / Ltd,,2024-01-08T12:45:00+05:30,20240108071500-274,NOT_RELEVANT,Imperial Brands / Imperial Tobacco foreign subsidiary.
