audit_id,article_id,headline,source,url,trading_date,timestamp_basis,match_category,published_at,seen_at,gkg_record_id,human_label,human_notes
ITC_APR_AUDIT_001,c77260efdead4ac499dc41b68de2f39ecc60844d,"YES Bank, Tata Power, ITC, Suzlon, Reliance Power shares: 6 out of 10 top retail stocks turned multibagger in 1 year",businesstoday.in,https://www.businesstoday.in/markets/trending-stocks/story/yes-bank-tata-power-itc-suzlon-reliance-power-shares-6-out-of-10-top-retail-stocks-turned-multibagger-in-1-year-423665-2024-04-01,2024-04-01,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-01T11:15:00+05:30,20240401054500-827,INDIRECTLY_RELEVANT,"Broad multi-stock market roundup, analyst portfolio recommendation list, or national economic commentary by ITC Chairman."
ITC_APR_AUDIT_002,ca2ee666f1aeb25c0c9b9482032a0342b4493c15,"Share Prices - ITC Share Price Live Updates: ITC Sees Minor Decline in Stock Price, Weekly Returns Negative",livecharts.co.uk,https://www.livecharts.co.uk/share_prices/Share-Prices---ITC-Share-Price-Live-Updates---news1711966684.html,2024-04-02,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-01T16:15:00+05:30,20240401104500-627,DIRECTLY_RELEVANT,"Direct ITC Limited corporate, financial, M&A (Blazeclan acquisition), brand marketing (Savlon), demerger, or hotel operations intelligence."
ITC_APR_AUDIT_003,7d241e131050fac18484cd062693975d47b4e65d,BAT's reduction of stake in ITC: Here's how it can impact the Indian FMCG giant,businesstoday.in,https://www.businesstoday.in/magazine/the-buzz/story/bats-reduction-of-stake-in-itc-heres-how-it-can-impact-the-indian-fmcg-giant-423782-2024-04-01,2024-04-02,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-01T23:00:00+05:30,20240401173000-836,DIRECTLY_RELEVANT,"Direct ITC Limited corporate, financial, M&A (Blazeclan acquisition), brand marketing (Savlon), demerger, or hotel operations intelligence."
ITC_APR_AUDIT_004,cba78e4423134d08711588f9acc7c14576116751,"ITC stocks: Buy ITC, target price Rs 500: Motilal Oswal",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-itc-target-price-rs-500-motilal-oswal/articleshow/108960875.cms,2024-04-02,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-02T09:45:00+05:30,20240402041500-105,DIRECTLY_RELEVANT,"Direct ITC Limited corporate, financial, M&A (Blazeclan acquisition), brand marketing (Savlon), demerger, or hotel operations intelligence."
ITC_APR_AUDIT_005,3d0a5b2345f7eaf3dc3651a004dbeec4380838ba,"Zomato, SBI, ITC among Motilal Oswal's top 11 largecap picks",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/zomato-sbi-itc-among-motilal-oswals-top-11-largecap-picks/articleshow/109002443.cms,2024-04-04,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-03T15:30:00+05:30,20240403100000-586,INDIRECTLY_RELEVANT,"Broad multi-stock market roundup, analyst portfolio recommendation list, or national economic commentary by ITC Chairman."
ITC_APR_AUDIT_006,f736fe12c74993482496da46bfff6fa4613360c8,"Rahul Gandhi stock portfolio: ITC, ICICI Bank and Titan among 25 stocks in Rahul Gandhi's Rs 4.30 crore stock portfolio",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/itc-icici-bank-and-titan-among-25-stocks-in-rahul-gandhis-rs-4-30-crore-stock-portfolio/articleshow/109024901.cms,2024-04-04,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-04T12:00:00+05:30,20240404063000-462,INDIRECTLY_RELEVANT,"Broad multi-stock market roundup, analyst portfolio recommendation list, or national economic commentary by ITC Chairman."
ITC_APR_AUDIT_007,cb89a40a7a17d5a0f7b413c59fdbc3fb0ef95ebd,"ITC, ICICI Bank, Pidilite, Titan Among 25 Shares In Rahul Gandhi's Rs 4.30-Crore Portfolio",news18.com,https://www.news18.com/business/itc-icici-bank-titan-among-25-stocks-in-rahul-gandhis-rs-4-30-crore-portfolio-8839404.html,2024-04-04,publisher_published_at,D: Bare ITC (Contextual Match),2024-04-04T12:58:00+05:30,2024-04-04T13:15:00+05:30,20240404074500-945,INDIRECTLY_RELEVANT,"Broad multi-stock market roundup, analyst portfolio recommendation list, or national economic commentary by ITC Chairman."
ITC_APR_AUDIT_008,de9815bc1256010eff0631c7590ac945fa648b69,ITC stock rally has fizzled out since January; here are fresh price targets,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/itc-shares-fall-price-targets-stop-loss-market-capitalisation-424259-2024-04-04,2024-04-05,gdelt_gkg_observation,D: Bare ITC (Contextual Match),,2024-04-04T15:30:00+05:30,20240404100000-889,DIRECTLY_RELEVANT,"Direct ITC Limited corporate, financial, M&A (Blazeclan acquisition), brand marketing (Savlon), demerger, or hotel operations intelligence."
ITC_APR_AUDIT_009,628090a6bd59d69130b91ef47bdd2e96be6ca44d,"ITC, ICICI Bank, Bajaj Finance in the list of 25 shares held by Rahul Gandhi; Here are details of his portfolio - Market News",financialexpress.com,https://www.financialexpress.com/market/itc-icici-bank-bajaj-finance-in-the-list-of-25-shares-held-by-rahul-gandhi-here-are-details-of-his-portfolio-3446251,2024-04-05,publisher_published_at,D: Bare ITC (Contextual Match),2024-04-04T15:14:00+05:30,2024-04-04T16:45:00+05:30,20240404111500-531,INDIRECTLY_RELEVANT,"Broad multi-stock market roundup, analyst portfolio recommendation list, or national economic commentary by ITC Chairman."
ITC_APR_AUDIT_010,44882f750424e53705aebec0d097b0fddf976560,ITC Foods' dairy & beverage biz to focus on volume in FY25: COO - Industry News,financialexpress.com,https://www.financialexpress.com/business/industry-itc-foods-dairy-amp-beverage-biz-to-focus-on-volume-in-fy25-coo-3446795,2024-04-05,publisher_published_at,D: Bare ITC (Contextual Match),2024-04-05T02:20:00+05:30,2024-04-05T05:00:00+05:30,20240404233000-1815,DIRECTLY_RELEVANT,"Direct ITC Limited corporate, financial, M&A (Blazeclan acquisition), brand marketing (Savlon), demerger, or hotel operations intelligence."
