audit_id,article_id,date_extracted,timestamp_basis,source,headline,url,human_label,human_notes
ITC_JAN25_AUDIT_001,dd9c0a204ba61c10c82a32ba13d22f544e091c8f,,gdelt_gkg_observation,financialexpress.com,"Stocks To Watch: ITC, Thomas Cook, ITD Cementation, Piramal Enterprises, Kalpataru Projects, Kirloskar Industries, SJVN, Sun Pharma",https://www.financialexpress.com/market/stocks-to-watch-itc-thomas-cook-itd-cementation-piramal-enterprises-kalpataru-projects-kirloskar-industries-sjvn-sun-pharma-3704791,INDIRECTLY_RELEVANT,Market commentary including ITC.NS.
ITC_JAN25_AUDIT_002,9618b9e056a0a2b0de08b16883f9a7988532a823,,gdelt_gkg_observation,indiatimes.com,"Stocks in news: Stocks in news: ITC, Orient Cement, Surya Roshni and Newgen Software",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-itc-orient-cement-surya-roshni-and-newgen-software/articleshow/116838017.cms,INDIRECTLY_RELEVANT,Market commentary including ITC.NS.
ITC_JAN25_AUDIT_003,c68abc45ea0c548ce7cf597523b68222cb80fde9,,gdelt_gkg_observation,moneycontrol.com,"Stocks to Watch Today: Kalpataru Projects, ITC, SJVN, Newgen Software, Utkarsh SFB, TVS Holdings in focus on 1 January",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-kalpataru-projects-itc-sjvn-newgen-software-utkarsh-sfb-tvs-holdings-in-focus-on-1-january-12901387.html,INDIRECTLY_RELEVANT,Market commentary including ITC.NS.
ITC_JAN25_AUDIT_004,81ad23f4f2554f96de7b054b44a4fa7a4aff4ed3,,gdelt_gkg_observation,indiatimes.com,ITC shares in focus as hotels' demerger commences today,https://economictimes.indiatimes.com/markets/stocks/news/itc-shares-in-focus-as-hotels-demerger-commences-today/articleshow/116843903.cms,DIRECTLY_RELEVANT,"Direct operational earnings, demerger progress, corporate action, or stock price movement for ITC Limited."
ITC_JAN25_AUDIT_005,8af6dd3025efa792ca67e84c5ace1583f68d1a97,,gdelt_gkg_observation,businesstoday.in,"ITC Hotels demerger: Stock listing date, share price calculation, F&O inclusion & more",https://www.businesstoday.in/markets/stocks/story/itc-hotels-demerger-stock-listing-date-share-price-calculation-fo-inclusion-more-459177-2025-01-01,DIRECTLY_RELEVANT,"Direct operational earnings, demerger progress, corporate action, or stock price movement for ITC Limited."
ITC_JAN25_AUDIT_006,efbeeac514be96ae287989631da6862e7890255f,,gdelt_gkg_observation,businesstoday.in,"Stocks in news today: ITC, Sun Pharma, Piramal Enterprises, SJVN, Utkarsh SFB & LT Foods",https://www.businesstoday.in/markets/story/stocks-in-news-today-itc-sun-pharma-piramal-enterprises-sjvn-utkarsh-sfb-lt-foods-459175-2025-01-01,INDIRECTLY_RELEVANT,Market commentary including ITC.NS.
ITC_JAN25_AUDIT_007,67e298355e51a1214fe26a7f1ec74458a7b0717b,,gdelt_gkg_observation,businesstoday.in,"ITC, ICICI Bank, Indus Towers: Key support & resistance levels for these 3 stocks",https://www.businesstoday.in/markets/company-stock/story/itc-icici-bank-indus-towers-key-support-resistance-levels-for-these-3-stocks-459178-2025-01-01,DIRECTLY_RELEVANT,Direct operational performance or securities action of ITC.
ITC_JAN25_AUDIT_008,168fe0bcc440268f1fb4244453124a752fb22acf,,gdelt_gkg_observation,business-standard.com,"Stocks to Watch: नए साल में Auto stocks, ITC, Sun Pharma और Piramal Ent पर रखें नजर - stocks to watch keep an eye on auto stocks itc sun pharma and piramal ent in the new year",https://hindi.business-standard.com/markets/stocks-to-watch-keep-an-eye-on-auto-stocks-itc-sun-pharma-and-piramal-ent-in-the-new-year-id-399129,INDIRECTLY_RELEVANT,Market commentary including ITC.NS.
ITC_JAN25_AUDIT_009,0dd817c2cda7aea562d6f5225c8185b85bf76fc2,,gdelt_gkg_observation,businesstoday.in,"ITC, HDFC Bank, RIL, M&M: Nifty stocks to consider in 2025",https://www.businesstoday.in/markets/stocks/story/itc-hdfc-bank-ril-mm-nifty-stocks-to-consider-in-2025-459191-2025-01-01,INDIRECTLY_RELEVANT,Market commentary including ITC.NS.
ITC_JAN25_AUDIT_010,b457855046a45e8e5d92dfcf33da7c2c4a46f31b,,gdelt_gkg_observation,indiatimes.com,ITC | ITC share price | ITC Hotels: Expect Rs 20 gain per share of ITC from ITC Hotels listing if duty remains unchanged: Amnish Aggarwal,https://economictimes.indiatimes.com/markets/expert-view/expect-rs-20-gain-per-share-of-itc-from-itc-hotels-listing-if-duty-remains-unchanged-amnish-aggarwal/articleshow/116847919.cms,DIRECTLY_RELEVANT,"Direct operational earnings, demerger progress, corporate action, or stock price movement for ITC Limited."
