gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,v1_label,adjudication_reason,policy_clause,adjudication_version
20240101003000-591,20240101003000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/after-a-lacklustre-2023-will-2024-be-a-year-of-mega-caps/articleshow/106428572.cms,"market: After a lacklustre 2023, will 2024 be a year of mega-caps?",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101004500-313,20240101004500,financialexpress.com,https://www.financialexpress.com/money/spread-your-nps-corpus-across-fund-managers-opt-for-multiple-funds-for-higher-returns-3352137/,Spread your NPS corpus across fund managers; Opt for multiple funds for higher returns,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101013000-T580,20240101013000,haribhoomi.com,https://www.haribhoomi.com/national/news/2024-special-for-india-ram-mandir-general-election-many-more-key-events-in-next-year-2357,2024 Big Events: अयोध्या में प्राण प्रतिष्ठा से लेकर आम चुनाव और ISRO के अहम मिशन तक... बहुत कुछ होगा खास,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101033000-622,20240101033000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/moneycontrol-pro-market-outlook-2023-ends-on-a-strong-note-but-can-the-rally-continue-11980821.html,"Moneycontrol Pro Market Outlook | 2023 ends on a strong note, but can the rally continue?",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101051500-337,20240101051500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024/article67694596.ece,Markets off to weak start on first day of trade of 2024 - The Hindu BusinessLine,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101060000-361,20240101060000,news18.com,https://www.news18.com/business/stock-market-updates-today-news-sensex-nifty-january-1-8724065.html,"Stock Market Updates: 2024 Sees A Flat Start, Sensex Down 207 Pts, Nifty Declines By 46 Pts",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101061500-575,20240101061500,thehindu.com,https://www.thehindu.com/business/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024/article67694610.ece,Markets off to weak start on first day of trade of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101061500-332,20240101061500,hindustantimes.com,https://www.hindustantimes.com/business/bank-holidays-2024-are-banks-open-on-new-year-s-day-january-1-101703845165076.html,"Bank holidays 2024: Are banks open on New Year's day, January 1?",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101061500-366,20240101061500,hindustantimes.com,https://www.hindustantimes.com/india-news/if-we-want-to-remove-extreme-poverty-we-must-match-it-with-financing-101704083964520.html,"Abhijit Banerjee, Esther Duflo interview: 'If we want to end extreme poverty…' | Latest News India",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
20240101063000-570,20240101063000,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/01/markets-off-to-weak-start-on-first-trading-day-of-2024.html,Markets off to weak start on first trading day of 2024,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,NOT_RELEVANT,Confirmed consistent with parent-bank policy,Standard Corporate Materiality,V1_CONFIRMED
