gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240401013000-734,20240401013000,financialexpress.com,https://www.financialexpress.com/business/banking-finance-kotak-bank-tops-table-of-equity-offerings-3442254/,Kotak Bank tops table of equity offerings,ACCEPTED,True,2024-04-01,2024-04-01 07:00:00+05:30,https://www.financialexpress.com/business/banking-finance-kotak-bank-tops-table-of-equity-offerings-3442254
20240402111500-826,20240402111500,livemint.com,https://www.livemint.com/market/stock-market-news/top-gainers-and-losers-today-on-2-april-2024-tata-consumer-mahindra-mahindra-hero-motocorp-kotak-mahindra-bank-among-most-active-stocks-check-full-list-here-11712053997093.html,"Top Gainers and Losers today on 2 April, 2024: Tata Consumer, Mahindra & Mahindra, Hero Motocorp, Kotak Mahindra Bank among most active stocks; Check full list here",ACCEPTED,True,2024-04-03,2024-04-02 16:45:00+05:30,https://www.livemint.com/market/stock-market-news/top-gainers-and-losers-today-on-2-april-2024-tata-consumer-mahindra-mahindra-hero-motocorp-kotak-mahindra-bank-among-most-active-stocks-check-full-list-here-11712053997093.html
20240402131500-1645,20240402131500,businesstoday.in,https://www.businesstoday.in/visualstories/stock/hero-motocorp-kotak-bank-top-losers-on-nifty50-as-market-slips-hdfc-bank-most-active-on-april-2-119094-02-04-2024,"Hero MotoCorp, Kotak Bank top losers on Nifty50 as market slips; HDFC Bank most active on April 2",ACCEPTED,True,2024-04-03,2024-04-02 18:45:00+05:30,https://www.businesstoday.in/visualstories/stock/hero-motocorp-kotak-bank-top-losers-on-nifty50-as-market-slips-hdfc-bank-most-active-on-april-2-119094-02-04-2024
20240402190000-1129,20240402190000,thehindubusinessline.com,https://www.thehindubusinessline.com/money-and-banking/kotak-bank-sees-growing-demand-for-used-tractor-loans/article68021022.ece,Kotak Bank sees growing demand for used tractor loans - The Hindu BusinessLine,ACCEPTED,True,2024-04-03,2024-04-03 00:30:00+05:30,https://www.thehindubusinessline.com/money-and-banking/kotak-bank-sees-growing-demand-for-used-tractor-loans/article68021022.ece
20240403023000-1391,20240403023000,bloomberg.com,https://www.bloomberg.com/news/articles/2024-04-03/top-indian-bond-banker-sees-high-funding-costs-for-shadow-banks,Kotak Mahindra Bank Sees High Funding Costs for India's Shadow Banks,ACCEPTED,True,2024-04-03,2024-04-03 08:00:00+05:30,https://www.bloomberg.com/news/articles/2024-04-03/top-indian-bond-banker-sees-high-funding-costs-for-shadow-banks
20240403081500-1133,20240403081500,financialexpress.com,https://www.financialexpress.com/market/cafeinvest-irctc-and-kotak-bank-remain-mehta-equities-top-stock-recommendations-for-the-week-3444757/,IRCTC and Kotak Bank remain Mehta Equities' top stock recommendations for the week - CaFE Invest News,ACCEPTED,True,2024-04-03,2024-04-03 13:45:00+05:30,https://www.financialexpress.com/market/cafeinvest-irctc-and-kotak-bank-remain-mehta-equities-top-stock-recommendations-for-the-week-3444757
20240403163000-T1257,20240403163000,sharemanthan.in,https://www.sharemanthan.in/462-advice/74604-market-outlook-kotak-mahindra-bank-shares-shomesh-kumar-views-20240403,Kotak Mahindra Bank Ltd Share Latest News: लंबी अवधि में हो सकता है अच्छा मुनाफा,ACCEPTED,True,2024-04-04,2024-04-03 22:00:00+05:30,https://www.sharemanthan.in/462-advice/74604-market-outlook-kotak-mahindra-bank-shares-shomesh-kumar-views-20240403
20240405133000-2107,20240405133000,marketscreener.com,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-Commercial-Paper-of-Kotak-Mahindra-Prime-Limited-46373188/,"BSE : Listing of new Commercial Paper of Kotak Mahindra Prime Limited -April 05, 2024 at 09:14 am EDT",ACCEPTED,True,2024-04-08,2024-04-05 19:00:00+05:30,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-Commercial-Paper-of-Kotak-Mahindra-Prime-Limited-46373188
20240405203000-50,20240405203000,rashtranews.com,https://www.rashtranews.com/rbis-repo-rate-hike-is-a-courageous-move-uday-kotak/,'RBI's Repo rate hike is a courageous move': Uday Kotak,ACCEPTED,True,2024-04-08,2024-04-06 02:00:00+05:30,https://www.rashtranews.com/rbis-repo-rate-hike-is-a-courageous-move-uday-kotak
20240407131500-275,20240407131500,indiaeducationdiary.in,https://indiaeducationdiary.in/kotak-mahindra-bank-associates-with-manipal-academy-of-bfsi-to-launch-kotak-nextgen-bankers-programme-a-gateway-to-a-career-in-banking-2/,Kotak Mahindra Bank Associates with Manipal Academy of BFSI to Launch Kotak NextGen Bankers Programme – A Gateway to a Career in Banking,ACCEPTED,True,2024-04-08,2024-04-07 18:45:00+05:30,https://indiaeducationdiary.in/kotak-mahindra-bank-associates-with-manipal-academy-of-bfsi-to-launch-kotak-nextgen-bankers-programme-a-gateway-to-a-career-in-banking-2
