gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20241001031500-411,20241001031500,indiatimes.com,https://economictimes.indiatimes.com/wealth/plan/retirement-planning-in-nps-you-can-lose-rs-21-lakh-in-monthly-income-if-you-buy-an-annuity-plan-worth-rs-50-lakh-without-comparison/articleshow/113816546.cms,nps: Retirement planning in NPS: You can lose Rs 21 lakh in monthly income if you buy an annuity plan worth Rs 50 lakh without comparison,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001051500-524,20241001051500,moneycontrol.com,https://www.moneycontrol.com/news/business/banks/mc-exclusive-rbi-ban-lit-a-fire-under-us-ashok-vaswani-md-ceo-kotak-mahindra-bank-12832911.html,MC Exclusive | Reserve Bank ban 'lit a fire under us',REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001054500-1171,20241001054500,indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/escorts-kubota-poised-for-growth-amid-farm-equipment-demand-surge-chakri-lokapriya/articleshow/113837414.cms,market strategy: Escorts Kubota poised for growth amid farm equipment demand surge: Chakri Lokapriya,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001060000-263,20241001060000,menafn.com,https://menafn.com/1108732594/Sensex-Trades-Higher-Amid-Positive-Global-Cues,Sensex Trades Higher Amid Positive Global Cues,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001063000-73,20241001063000,ibtimes.co.in,https://www.ibtimes.co.in/sensex-nifty-open-positive-trade-higher-amid-positive-global-cues-872897,"Sensex, Nifty open positive, trade higher amid positive global cues",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001063000-151,20241001063000,sakshipost.com,https://www.sakshipost.com/news/sensex-trades-higher-amid-positive-global-cues-337246,October 1: Sensex trades higher amid positive global cues,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001063000-212,20241001063000,indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/dr-agarwals-health-care-files-draft-papers-with-sebi-to-raise-funds-via-ipo/articleshow/113839076.cms,Dr Agarwal's Health Care files draft papers with Sebi to raise funds via IPO,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001063000-1335,20241001063000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-advances-0-03-in-a-weak-market/articleshow/113839002.cms,Indices: Stock market update: Nifty Bank index advances 0.03% in a weak market,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001070000-816,20241001070000,prokerala.com,https://www.prokerala.com/news/articles/a1568811.html,Sensex trades higher amid positive global cues,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20241001081500-529,20241001081500,livemint.com,https://www.livemint.com/money/personal-finance/medical-loans-everything-you-need-to-know-for-affordable-care-medical-emergencies-credit-score-11727695598347.html,Medical Loans: Everything you need to know for affordable care,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
