GKGRECORDID,DATE,page_title,url,source,rejection_reason
20240101073000-399,20240101073000,"BHEL shares jump 6%, top Rs 200 level on Rs 19,422 crore order win report",https://www.businesstoday.in/markets/company-stock/story/bhel-shares-jump-6-top-rs-200-level-on-rs-19422-crore-order-win-report-411412-2024-01-01,businesstoday.in,MATCHER_REJECTED
20240101091500-139,20240101091500,"Nifty overvalued by 20%, says Kotak Equities, picks Britannia, NTPC for its portfolio All-Season portfolio",https://economictimes.indiatimes.com/markets/stocks/news/nifty-overvalued-by-20-says-kotak-equities-picks-britannia-ntpc-for-its-portfolio-all-season-portfolio/articleshow/106448205.cms,indiatimes.com,MATCHER_REJECTED
20240101130000-137,20240101130000,Nifty ends with small gains on first day of 2024 amid profit booking,https://www.business-standard.com/markets/news/nifty-ends-with-small-gains-on-first-day-of-2024-amid-profit-booking-124010100561_1.html,business-standard.com,MATCHER_REJECTED
20240101181500-1034,20240101181500,"BHEL Wins Rs 19,400 Crore Bid for Talabira Power Plant",https://techstory.in/bhel-wins-rs-19400-crore-bid-for-talabira-power-plant/,techstory.in,MATCHER_REJECTED
20240102053000-799,20240102053000,Stock Market Sectors: Stock market update: Mining stocks  down  as market  falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106468849.cms,indiatimes.com,MATCHER_REJECTED
20240102060000-294,20240102060000,Stock Market Sectors: Stock market update: Power stocks  up  as market  falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/106470578.cms,indiatimes.com,MATCHER_REJECTED
20240102060000-41,20240102060000,Markets fall in early trade as Sensex falls 202.76 points,https://www.tribuneindia.com/news/business/markets-fall-in-early-trade-as-sensex-falls-202-76-points-577579,tribuneindia.com,MATCHER_REJECTED
20240102063000-695,20240102063000,"Stock market | Sensex falls 202 points to 72,069 in early trade; Nifty declines 42 points to 21,699",https://www.telegraphindia.com/feeds/business/sensex-falls-202-points-to-72069-in-early-trade-nifty-declines-42-points-to-21699/cid/1990960,telegraphindia.com,MATCHER_REJECTED
20240102063000-946,20240102063000,Markets fall in early trade,https://www.theweek.in/wire-updates/business/2024/01/02/del5-biz-stocks-open.html,theweek.in,MATCHER_REJECTED
20240102063000-806,20240102063000,"Sensex, Nifty decline in early trade amid weak Asian trends, fresh foreign fund outflows",https://www.theweek.in/news/biz-tech/2024/01/02/sensex-nifty-decline-in-early-trade-amid-weak-asian-trends-fresh-foreign-fund-outflows.html,theweek.in,MATCHER_REJECTED
