audit_id,ticker,trading_date,headline,source,url,match_category,timestamp_basis,published_at,seen_at,gkg_record_id,human_label,human_notes
AUDIT_001,RELIANCE.NS,2024-01-02,Reliance Jio Nears Satellite Internet Takeoff as Crucial Approvals Loom,indiainfoline.com,https://www.indiainfoline.com/article/news-top-story/reliance-jio-nears-satellite-internet-takeoff-as-crucial-approvals-loom-1704168686190_1.html,B: Reliance Jio / Jio Platforms,gdelt_gkg_observation,,2024-01-02T11:15:00+05:30,20240102054500-256,DIRECTLY_RELEVANT,Jio satellite internet regulatory approvals
AUDIT_002,RELIANCE.NS,2024-01-02,"RIL Share Price: मुकेश अंबानी को जल्दी मिलने वाली है गुड न्यूज, रॉकेट बनेगा रिलायंस का शेयर!",indiatimes.com,https://navbharattimes.indiatimes.com/business/business-news/mukesh-ambanis-reliance-jio-may-get-approval-to-launch-satcom-services-soon/articleshow/106476321.cms,A: Reliance Industries / RIL,publisher_precise_timestamp,2024-01-02T12:30:00+05:30,2024-01-02T13:45:00+05:30,20240102081500-T469,DIRECTLY_RELEVANT,RIL share price and Jio satcom approval
AUDIT_003,RELIANCE.NS,2024-01-03,Reliance Jio nears crucial approvals to launch satellite-based internet services in India: Report,businesstoday.in,https://www.businesstoday.in/technology/news/story/reliance-jio-nears-crucial-approvals-to-launch-satellite-based-internet-services-in-india-report-411643-2024-01-03,B: Reliance Jio / Jio Platforms,gdelt_gkg_observation,,2024-01-03T08:30:00+05:30,20240103030000-988,DIRECTLY_RELEVANT,Jio satellite internet approvals report
AUDIT_004,RELIANCE.NS,2024-01-03,"Number of wealthy people increased by 21 percent in 2023, 152 billionaires in India, Mukesh Ambani became the richest | बीते साल पैदा हुए 21 फीसदी अरबपति, धनकुबेरों की संख्या हुई 152, मुकेश अंबानी बने सबसे अमीर",patrika.com,https://www.patrika.com/national-news/number-of-wealthy-people-increased-by-21-percent-in-2023-152-billionaires-in-india-mukesh-ambani-became-the-richest-8663892,D: Mukesh Ambani,publisher_precise_timestamp,2024-01-03T08:28:00+05:30,2024-01-03T10:30:00+05:30,20240103050000-T703,NOT_RELEVANT,General wealth / billionaire listicle
AUDIT_005,RELIANCE.NS,2024-01-03,Reliance Jio on the verge of approvals for satellite-based internet services in India,domain-b.com,https://www.domain-b.com/technology/technology-general/reliance-jio-on-the-verge-of-approvals-for-satellite-based-internet-services-in-india,B: Reliance Jio / Jio Platforms,gdelt_gkg_observation,,2024-01-03T15:00:00+05:30,20240103093000-949,DIRECTLY_RELEVANT,Jio satellite internet service approvals
AUDIT_006,RELIANCE.NS,2024-01-04,"Reliance Jio-Disney+Hotstar merge, plan India's largest media biz",medianama.com,https://www.medianama.com/2024/01/223-reliance-jio-disney-hotstar-merge,B: Reliance Jio / Jio Platforms,publisher_precise_timestamp,2024-01-03T15:43:00+05:30,2024-01-03T18:00:00+05:30,20240103123000-1134,DIRECTLY_RELEVANT,Jio-Disney media business merger plan
AUDIT_007,RELIANCE.NS,2024-01-04,"ओएनजीसी को तेल-गैस के सात ब्लॉक, रिलायंस-बीपी एक ब्लॉक मिला - ongc got seven oil gas blocks reliance bp got one block",punjabkesari.in,https://www.punjabkesari.in/business/news/ongc-got-seven-oil-gas-blocks-reliance-bp-got-one-block-1923977,F: Other RIL Verticals / Energy,gdelt_gkg_observation,,2024-01-03T19:45:00+05:30,20240103141500-T59,DIRECTLY_RELEVANT,RIL-BP bags oil and gas exploration block
AUDIT_008,RELIANCE.NS,2024-01-04,"OALP round 8: ONGC wins 7 blocks, RIL-BP and OIL bag one each",thehindubusinessline.com,https://www.thehindubusinessline.com/companies/oalp-round-8-ongc-wins-7-blocks-ril-bp-and-oil-bag-one-each/article67704995.ece,A: Reliance Industries / RIL,publisher_precise_timestamp,2024-01-04T13:24:00+05:30,2024-01-04T14:45:00+05:30,20240104091500-724,DIRECTLY_RELEVANT,OALP Round 8: RIL-BP bags exploration block
AUDIT_009,RELIANCE.NS,2024-01-05,Reliance Jio விரைவில் கொண்டு வரும் சேட்லைட் இன்டர்நெட் சேவை,digit.in,https://www.digit.in/ta/news/telecom/reliance-jio-may-soon-launch-of-satellite-internet-services-know-all.html,B: Reliance Jio / Jio Platforms,gdelt_gkg_observation,,2024-01-04T16:00:00+05:30,20240104103000-T1360,DIRECTLY_RELEVANT,Jio satellite internet launch news
AUDIT_010,RELIANCE.NS,2024-01-05,"Reliance Industries, Disney begin antitrust due diligence for India business merger",vccircle.com,https://www.vccircle.com/relianceindustries-disney-begin-antitrust-due-diligence-for-india-business-merger,A: Reliance Industries / RIL,gdelt_gkg_observation,,2024-01-04T16:00:00+05:30,20240104103000-1014,DIRECTLY_RELEVANT,RIL and Disney begin antitrust merger diligence
AUDIT_011,RELIANCE.NS,2024-01-05,"Nifty target at 24,260; any fall a buying opportunity, says Nomura as it picks RIL, ICICI Bank, M&M shares as top buys",businesstoday.in,https://www.businesstoday.in/markets/trending-stocks/story/nifty-target-at-24260-any-fall-a-buying-opportunity-says-nomura-as-it-picks-ril-icici-bank-mm-shares-as-top-buys-411974-2024-01-05,A: Reliance Industries / RIL,gdelt_gkg_observation,,2024-01-05T11:30:00+05:30,20240105060000-131,INDIRECTLY_RELEVANT,Brokerage index targets and top stock picks including RIL
AUDIT_012,RELIANCE.NS,2024-01-05,Billionaire industrialist Gautam Adani becomes India's richest man after overtaking Reliance boss Mukesh Ambani,indiatoday.in,https://www.indiatoday.in/business/story/gautam-adani-becomes-india-richest-person-overtakes-mukesh-ambani-bloomberg-billionaires-index-2484581-2024-01-05,D: Mukesh Ambani,publisher_precise_timestamp,2024-01-05T11:17:00+05:30,2024-01-05T12:45:00+05:30,20240105071500-738,NOT_RELEVANT,Billionaires index net worth ranking change
AUDIT_013,RELIANCE.NS,2024-01-05,"Gautam Adani overtakes Mukesh Ambani as India's richest man, both climb spots on world rich list",livemint.com,https://www.livemint.com/companies/people/gautam-adani-again-overtakes-mukesh-ambani-as-indias-richest-man-both-climb-spots-on-world-rich-list-11704429380423.html,D: Mukesh Ambani,gdelt_gkg_observation,,2024-01-05T12:45:00+05:30,20240105071500-610,NOT_RELEVANT,Adani vs Ambani wealth list ranking
AUDIT_014,RELIANCE.NS,2024-01-05,"Meet son of billionaire who was richer than Mukesh Ambani, leading Rs 200000 crore firm, his salary is…",dnaindia.com,https://www.dnaindia.com/business/report-meet-son-of-billionaire-who-was-richer-than-mukesh-ambani-leading-rs-200000-crore-firm-his-salary-is-3073572,D: Mukesh Ambani,gdelt_gkg_observation,,2024-01-05T12:45:00+05:30,20240105071500-475,NOT_RELEVANT,Clickbait biographical comparison
AUDIT_015,RELIANCE.NS,2024-01-05,"गौतम अदाणी आशियातील सर्वात श्रीमंत व्यक्ती, मुकेश अंबानी यांनाही टाकलं मागे; अदाणींची संपत्ती किती?| Bloomberg Billionaires Index Gautam Adani surpasses Mukesh Ambani to become Asia richest person",loksatta.com,https://www.loksatta.com/desh-videsh/bloomberg-billionaires-index-gautam-adani-surpasses-mukesh-ambani-to-become-asia-richest-person-scj-81-4141207,D: Mukesh Ambani,publisher_precise_timestamp,2024-01-05T14:02:00+05:30,2024-01-05T15:30:00+05:30,20240105100000-T873,NOT_RELEVANT,Billionaires index ranking report
AUDIT_016,RELIANCE.NS,2024-01-08,"gautam adani becomes asia richest person defeated mukesh ambani asia rich people list mdn | Gautam Adani Networth: गौतम अदाणी फिर बने एशिया के सबसे अमीर शख्स, मुकेश अंबानी को पीछे छोड़ा,इतना हुआ नेटवर्थ",prabhatkhabar.com,https://www.prabhatkhabar.com/business/gautam-adani-becomes-asia-richest-person-defeated-mukesh-ambani-asia-rich-people-list-mdn,D: Mukesh Ambani,gdelt_gkg_observation,,2024-01-05T15:45:00+05:30,20240105101500-T2872,NOT_RELEVANT,Asia richest list net worth ranking
