audit_id,article_id,headline,source,url,trading_date,timestamp_basis,match_category,published_at,seen_at,gkg_record_id,human_label,human_notes
R2_AUDIT_001,bf542623831b8d549303c42b7644e1202c76aa75,Reliance Jio: Reliance Jio may get approval to launch satcom services soon,indiatimes.com,https://economictimes.indiatimes.com/industry/telecom/telecom-news/reliance-jio-may-get-approval-to-launch-satcom-services-soon/articleshow/106459270.cms,2024-01-02,gdelt_gkg_observation,B: Reliance Jio / Jio Platforms,,45292.833333333336,20240101200000-444,DIRECTLY_RELEVANT,
R2_AUDIT_002,bc9c7a8aa784b79523c708cc7cf38c95d12cfecf,"F&O stocks to buy today: RIL, SBI among top 10 trading ideas for 2 January 2024",indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-today-ril-sbi-among-top-10-trading-ideas-for-2-january-2024/articleshow/106465739.cms,2024-01-02,gdelt_gkg_observation,A: Reliance Industries / RIL,,45293.1875,20240102043000-723,INDIRECTLY_RELEVANT,Multi-stock/market roundup; RIL is meaningful but not the sole primary subject.
R2_AUDIT_003,8942e3648ace57c6e139e165bb60d917e6082d34,"Akash Ambani led Reliance Jio getting closer to rival Elon Musk's superfast service, may soon launch newâ€¦",dnaindia.com,https://www.dnaindia.com/technology/report-akash-ambani-led-reliance-jio-getting-closer-to-rival-elon-musk-s-superfast-service-may-soon-launch-new-3073304,2024-01-02,gdelt_gkg_observation,B: Reliance Jio / Jio Platforms,,45293.395833333336,20240102093000-352,DIRECTLY_RELEVANT,
R2_AUDIT_004,21c4ed1479e949806e12a5a8ddde6d68fdffceb9,"Janua. Museo delle Streghe Benevento"""". Oltre 5mila presenze nel 2023. Tante novitÃ  pe ril nuovo anno",tvsette.net,https://www.tvsette.net/janua-museo-delle-streghe-benevento-oltre-5mila-presenze-nel-2023-tante-novita-pe-ril-nuovo-anno,2024-01-03,gdelt_gkg_observation,A: Reliance Industries / RIL,,45293.572916666664,20240102134500-T241,NOT_RELEVANT,False keyword match: Italian text contains 'ril' but is unrelated to Reliance Industries.
R2_AUDIT_005,1c17dd3eb528310156807f633db46416b162ce51,"Business News : Alok Industries stock soars 20 percent after RIL pours in 3300 crore rupees via preferential shares - Business News India - â‚¹25 à¤•à¥‡ à¤¶à¥‡à¤¯à¤° à¤µà¤¾à¤²à¥€ à¤•à¤‚à¤ªà¤¨à¥€ à¤ªà¤° à¤®à¥à¤•à¥‡à¤¶ à¤…à¤‚à¤¬à¤¾à¤¨à¥€ à¤¨à¥‡ à¤²à¤—à¤¾à¤¯à¤¾ à¤¦à¤¾à¤‚à¤µ, à¤°à¥‰à¤•à¥‡à¤Ÿ à¤¬à¤¨à¤¾ à¤­à¤¾à¤µ, 20% à¤•à¤¾ à¤…à¤ªà¤° à¤¸à¤°à¥à¤•à¤¿à¤Ÿ",livehindustan.com,https://www.livehindustan.com/business/story-alok-industries-stock-soars-20-percent-after-ril-pours-in-3300-crore-rupees-via-preferential-shares-9147959.html,2024-01-03,publisher_precise_timestamp,A: Reliance Industries / RIL,45293.572222222225,45293.625,20240102150000-T2453,INDIRECTLY_RELEVANT,Alok Industries is the primary subject; RIL funding is a material driver.
R2_AUDIT_006,e05c4c1237613b26ab3d6824436278ad3e4babb1,"Alok Industries' shares soar on â‚¹3, 300-cr fund infusion by RIL",thehindubusinessline.com,https://www.thehindubusinessline.com/markets/alok-industries-shares-soar-on-3300-cr-fund-infusion-by-ril/article67698666.ece,2024-01-03,publisher_precise_timestamp,A: Reliance Industries / RIL,45293.56041666667,45293.6875,20240102163000-558,INDIRECTLY_RELEVANT,Alok Industries is the primary subject; RIL funding is a material driver.
R2_AUDIT_007,7542bc0e6dd5567f33819c42484f153250e46335,Mukesh Ambani: 3 key messages Mukesh Ambani shared with employees for the New Year on Reliance Family Day,indiatimes.com,https://timesofindia.indiatimes.com/gadgets-news/3-key-messages-mukesh-ambani-shared-with-employees-for-the-new-year-on-reliance-family-day/articleshow/106487745.cms,2024-01-03,gdelt_gkg_observation,D: Mukesh Ambani,,45294.270833333336,20240103063000-933,DIRECTLY_RELEVANT,
R2_AUDIT_008,78bcb5cbc5785417f5e51fcccba65970d35ecf5d,"Reliance Industries, Disney start antitrust diligence on media merger: Report",businesstoday.in,https://www.businesstoday.in/latest/corporate/story/reliance-industries-disney-start-antitrust-diligence-on-media-merger-report-411900-2024-01-04,2024-01-05,gdelt_gkg_observation,A: Reliance Industries / RIL,,45295.53125,20240104124500-1257,DIRECTLY_RELEVANT,
R2_AUDIT_009,55eca530f06d430a6224b2dd60abf4782ed88b6c,"Airtel | Reliance Jio adds 31 lakh mobile users, Airtel 3 lakh in October 2023",telegraphindia.com,https://www.telegraphindia.com/feeds/business/reliance-jio-adds-31-lakh-mobile-users-airtel-3-lakh-in-october-2023/cid/1991617,2024-01-05,gdelt_gkg_observation,B: Reliance Jio / Jio Platforms,,45296.1875,20240105043000-508,INDIRECTLY_RELEVANT,Telecom-sector comparison involving Jio and another operator.
R2_AUDIT_010,b0f6f8c749390e97eee627e31a47727e29cc785d,Mukesh Ambani at Reliance Global Investors' Meet in Chennai: TN Has Become One of the Most Biz-Friendly States in India,news18.com,https://www.news18.com/india/mukesh-ambani-at-reliance-global-investors-meet-in-chennai-tn-has-become-one-of-the-most-biz-friendly-states-in-india-8730994.html,2024-01-08,publisher_precise_timestamp,D: Mukesh Ambani,45298.33194444444,45298.34375,20240107081500-131,DIRECTLY_RELEVANT,
