article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis
20241001104500-T1304,SBIN.NS,"Recruitment for 1511 posts in State Bank of India, opportunity for graduates, salary more than 90 thousand | सरकारी नौकरी: स्टेट बैंक ऑफ इंडिया में 1511 पदों पर निकली भर्ती, ग्रेजुएट्स को मौका, सैलरी 90 हजार से ज्यादा",https://www.bhaskar.com/career/news/recruitment-for-1511-posts-in-state-bank-of-india-opportunity-for-graduates-salary-more-than-90-thousand-133731850.html,https://www.bhaskar.com/career/news/recruitment-for-1511-posts-in-state-bank-of-india-opportunity-for-graduates-salary-more-than-90-thousand-133731850.html,bhaskar.com,2024-10-01T16:15:00+05:30,2024-10-03,gdelt_gkg_observation
20241001124500-T1406,SBIN.NS,SBI Amrit Kalash FD | Fixed Deposit (FD) Scheme Interest Rates | SBI 'अमृत-कलश' स्कीम में 31 मार्च तक कर सकेंगे निवेश: इसमें सीनियर सिटिजन को 7.60% और अन्य को मिल रहा 7.10% सालाना ब्याज,https://www.bhaskar.com/business/news/sbi-amrit-kalash-fixed-deposit-fd-scheme-interest-rates-133731705.html,https://www.bhaskar.com/business/news/sbi-amrit-kalash-fixed-deposit-fd-scheme-interest-rates-133731705.html,bhaskar.com,2024-10-01T18:15:00+05:30,2024-10-03,gdelt_gkg_observation
20241001184500-2407,SBIN.NS,Users storms over State Bank of India's UPI server failing,https://www.siasat.com/users-storms-over-state-bank-of-indias-upi-server-failing-3106049/,https://www.siasat.com/users-storms-over-state-bank-of-indias-upi-server-failing-3106049/,siasat.com,2024-10-02T00:15:00+05:30,2024-10-03,gdelt_gkg_observation
20241002100000-881,SBIN.NS,SBI to add 600 branches in its network during FY25: Chairman Setty,https://www.moneycontrol.com/news/business/sbi-to-add-600-branches-in-its-network-during-fy25-chairman-setty-12834145.html,https://www.moneycontrol.com/news/business/sbi-to-add-600-branches-in-its-network-during-fy25-chairman-setty-12834145.html,moneycontrol.com,2024-10-02T15:30:00+05:30,2024-10-03,gdelt_gkg_observation
20241002101500-1342,SBIN.NS,State Bank of India: SBI to add 600 branches in its network during FY25: Chairman Setty,https://economictimes.indiatimes.com/industry/banking/finance/banking/sbi-to-add-600-branches-in-its-network-during-fy25-chairman-setty/articleshow/113875505.cms,https://economictimes.indiatimes.com/industry/banking/finance/banking/sbi-to-add-600-branches-in-its-network-during-fy25-chairman-setty/articleshow/113875505.cms,indiatimes.com,2024-10-02T15:45:00+05:30,2024-10-03,gdelt_gkg_observation
20241002110000-T220,SBIN.NS,job opportunities in konkan railways recruitment in state bank of india zws 70 | नोकरीची संधी : स्टेट बँक ऑफ इंडियामधील भरती,https://www.loksatta.com/career/job-opportunities-in-konkan-railways-recruitment-in-state-bank-of-india-zws-70-4629137/,https://www.loksatta.com/career/job-opportunities-in-konkan-railways-recruitment-in-state-bank-of-india-zws-70-4629137/,loksatta.com,2024-10-02T16:30:00+05:30,2024-10-03,gdelt_gkg_observation
20241002111500-1251,SBIN.NS,"SBI to add 600 branches in FY25, says Chairman Setty - The Hindu BusinessLine",https://www.thehindubusinessline.com/money-and-banking/sbi-to-add-600-branches-in-fy25-says-chairman-setty/article68709261.ece,https://www.thehindubusinessline.com/money-and-banking/sbi-to-add-600-branches-in-fy25-says-chairman-setty/article68709261.ece,thehindubusinessline.com,2024-10-02T16:45:00+05:30,2024-10-03,gdelt_gkg_observation
20241002113000-1446,SBIN.NS,SBI plans to add 600 branches in network during FY25: Chairman Setty,https://www.business-standard.com/companies/news/sbi-plans-to-add-600-branches-in-network-during-fy25-chairman-setty-124100200428_1.html,https://www.business-standard.com/companies/news/sbi-plans-to-add-600-branches-in-network-during-fy25-chairman-setty-124100200428_1.html,business-standard.com,2024-10-02T17:00:00+05:30,2024-10-03,gdelt_gkg_observation
20241002113000-305,SBIN.NS,SBI To Add 600 Branches In Its Network During FY25: Chairman C S Setty,https://www.freepressjournal.in/business/sbi-to-add-600-branches-in-its-network-during-fy25-chairman-c-s-setty,https://www.freepressjournal.in/business/sbi-to-add-600-branches-in-its-network-during-fy25-chairman-c-s-setty,freepressjournal.in,2024-10-02T17:00:00+05:30,2024-10-03,gdelt_gkg_observation
20241002121500-T135,SBIN.NS,SBI new branches: ఎస్‌బీఐ నుంచి కొత్తగా మరో 600 శాఖలు.. ఈ ఆర్థిక సంవత్సరంలోనే,https://www.eenadu.net/telugu-news/business/sbi-to-add-600-branches-in-its-network-during-fy25-says-chairman-setty/0101/124179798,https://www.eenadu.net/telugu-news/business/sbi-to-add-600-branches-in-its-network-during-fy25-says-chairman-setty/0101/124179798,eenadu.net,2024-10-02T17:45:00+05:30,2024-10-03,gdelt_gkg_observation
