article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis,human_label,human_notes
20250101193000-592,SBIN.NS,State Bank of India (OTCMKTS:SBKFF) Stock Price Down 9.4% – Here's Why,https://www.themarketsdaily.com/2025/01/01/state-bank-of-india-otcmktssbkff-stock-price-down-9-4-heres-why.html,https://www.themarketsdaily.com/2025/01/01/state-bank-of-india-otcmktssbkff-stock-price-down-9-4-heres-why.html,themarketsdaily.com,2025-01-02T01:00:00+05:30,2025-01-02,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102011500-930,SBIN.NS,"Economy slowdown seasonal, need private capex: SBI chief",https://timesofindia.indiatimes.com/business/india-business/economy-slowdown-seasonal-need-private-capex-sbi-chief/articleshow/116867523.cms,https://timesofindia.indiatimes.com/business/india-business/economy-slowdown-seasonal-need-private-capex-sbi-chief/articleshow/116867523.cms,indiatimes.com,2025-01-02T06:45:00+05:30,2025-01-02,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102090000-T305,SBIN.NS,"SBI Vs PNB Vs HDFC bank: 2025 में 1, 3, 5 साल के लिए FD कराने पर कहां ज्यादा फायदा? क्या कहते हैं एक्सपर्ट - sbi vs pnb vs hdfc bank in 2025 where is there more benefit in getting fd for 1 3 5 years what do experts say",https://hindi.business-standard.com/latest-news/sbi-vs-pnb-vs-hdfc-bank-in-2025-where-is-there-more-benefit-in-getting-fd-for-1-3-5-years-what-do-experts-say-id-399560,https://hindi.business-standard.com/latest-news/sbi-vs-pnb-vs-hdfc-bank-in-2025-where-is-there-more-benefit-in-getting-fd-for-1-3-5-years-what-do-experts-say-id-399560,business-standard.com,2025-01-02T14:30:00+05:30,2025-01-02,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102101500-784,SBIN.NS,"Tata Motors, SBI, 3 more large-cap stocks analysts are bullish on for 2025",https://invezz.com/news/2025/01/02/tata-motors-sbi-and-3-more-large-cap-stocks-analysts-are-bullish-on-for-2025/,https://invezz.com/news/2025/01/02/tata-motors-sbi-and-3-more-large-cap-stocks-analysts-are-bullish-on-for-2025/,invezz.com,2025-01-02T15:45:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102113000-611,SBIN.NS,SBI launches TAB-based digital NRI account onboarding journey,https://www.dailyexcelsior.com/sbi-launches-tab-based-digital-nri-account-onboarding-journey/,https://www.dailyexcelsior.com/sbi-launches-tab-based-digital-nri-account-onboarding-journey/,dailyexcelsior.com,2025-01-02T17:00:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102131500-782,SBIN.NS,SBI introduces TAB-based digital NRI account onboarding journey,https://www.businesstoday.in/personal-finance/banking/story/sbi-introduces-tab-based-digital-nri-account-onboarding-journey-459343-2025-01-02,https://www.businesstoday.in/personal-finance/banking/story/sbi-introduces-tab-based-digital-nri-account-onboarding-journey-459343-2025-01-02,businesstoday.in,2025-01-02T18:45:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102131500-461,SBIN.NS,SBI launches TAB-based digital NRI account onboarding journey,http://www.uniindia.com/sbi-launches-tab-based-digital-nri-account-onboarding-journey/business-economy/news/3358831.html,http://www.uniindia.com/sbi-launches-tab-based-digital-nri-account-onboarding-journey/business-economy/news/3358831.html,uniindia.com,2025-01-02T18:45:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102143000-198,SBIN.NS,SBI unveils TAB-based digital onboarding for NRIs' account opening,https://www.thehindubusinessline.com/money-and-banking/sbi-unveils-tab-based-digital-onboarding-for-nris-account-opening/article69053402.ece,https://www.thehindubusinessline.com/money-and-banking/sbi-unveils-tab-based-digital-onboarding-for-nris-account-opening/article69053402.ece,thehindubusinessline.com,2025-01-02T20:00:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102183000-T1141,SBIN.NS,"SBI SCO Recruitment: एसबीआई स्पेशलिस्ट कैडर ऑफिसर पद के लिए एडमिट कार्ड जारी, ऐसे करें डाउनलोड",https://www.prabhatkhabar.com/education/exam-information/sbi-sco-recruitment-admit-card-out-on-sbi-co-in-see-how-to-download,https://www.prabhatkhabar.com/education/exam-information/sbi-sco-recruitment-admit-card-out-on-sbi-co-in-see-how-to-download,prabhatkhabar.com,2025-01-03T00:00:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
20250102194500-914,SBIN.NS,SBI launches TAB-based digital NRI account onboarding journey | Central India's Premier English Daily,https://www.centralchronicle.com/sbi-launches-tab-based-digital-nri-account-onboarding-journey/,https://www.centralchronicle.com/sbi-launches-tab-based-digital-nri-account-onboarding-journey/,centralchronicle.com,2025-01-03T01:15:00+05:30,2025-01-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"Parent State Bank of India corporate performance, banking operations, leadership (CS Setty), funding, lending, results, green bonds, or stock targets."
