gkg_record_id,date,source,document_url,headline,retrieval_bucket,human_label,notes
20240101010000-201,20240101010000,indiatimes.com,https://economictimes.indiatimes.com/tech/technology/india-job-scene-sees-early-signs-of-disruption-from-ai/articleshow/106422589.cms,artificial intelligence: India job scene sees early signs of disruption from AI,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101033000-276,20240101033000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-200-11808861.html,Stock Market Today: Top 10 things to know before the market opens,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101051500-517,20240101051500,financialexpress.com,https://www.financialexpress.com/business/industry-bidding-to-kick-off-in-few-months-bharatnet-tejas-and-tcs-seek-fair-shot-3352113/,Bidding to kick off in few months: BharatNet; Tejas and TCS seek fair shot - Industry News,OVERLAP,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101051500-337,20240101051500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024/article67694596.ece,Markets off to weak start on first day of trade of 2024 - The Hindu BusinessLine,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101053000-51,20240101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-49-in-a-weak-market/articleshow/106434275.cms,Indices: Stock market update: Nifty IT index falls 0.49% in a weak market,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101054500-T431,20240101054500,radio.opole.pl,"https://radio.opole.pl/104,783042,tcs-ciekawa-rywalizacja-w-ga-pa-ale-polacy-na-ra","TCS - ciekawa rywalizacja w Ga-Pa, ale Polacy na razie nie imponują…",BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101060000-361,20240101060000,news18.com,https://www.news18.com/business/stock-market-updates-today-news-sensex-nifty-january-1-8724065.html,"Stock Market Updates: 2024 Sees A Flat Start, Sensex Down 207 Pts, Nifty Declines By 46 Pts",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101061500-575,20240101061500,thehindu.com,https://www.thehindu.com/business/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024/article67694610.ece,Markets off to weak start on first day of trade of 2024,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101063000-570,20240101063000,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/01/markets-off-to-weak-start-on-first-trading-day-of-2024.html,Markets off to weak start on first trading day of 2024,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101063000-577,20240101063000,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/01/del6-biz-stocks-open.html,Markets off to weak start on first day of trade of 2024,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101064500-160,20240101064500,indiatimes.com,https://telecom.economictimes.indiatimes.com/news/internet/india-job-scene-sees-early-signs-of-disruption-from-ai/106429304,"AI Jobs: India job scene sees early signs of disruption from AI, ET Telecom",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101070000-85,20240101070000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/markets-off-to-weak-start-on-first-day-of-trade-of-2024/cid/1990720,Stock market | Markets off to weak start on first day of trade of 2024,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101070000-209,20240101070000,telegraphindia.com,https://www.telegraphindia.com/business/markets-off-to-weak-start-on-first-day-of-trade-of-2024/cid/1990720,Stock market | Markets off to weak start on first day of trade of 2024,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101080000-T53,20240101080000,tarunmitra.in,https://www.tarunmitra.in/article/10831/continuous-decline-in-the-stock-market-let-us-know-the,"शेयर बाजार में लगातार गिरावट, आइये जाने वैश्विक बाजार का हाल…",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101081500-T834,20240101081500,loksatta.com,https://www.loksatta.com/business/market/bajaratali-manas-know-about-natarajan-chandrasekaran-print-eco-news-mrj-95-4132934/,बाजारातली माणसं : टाटांचा 'चंद्रा'वतार! नटराजन चंद्रशेखरन | bajaratali manas know about Natarajan Chandrasekaran,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101090000-68,20240101090000,india.com,https://zeenews.india.com/markets/markets-off-to-weak-start-on-first-day-of-trade-of-2024-2704856.html,Markets Off To Weak Start On First Day Of Trade Of 2024,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240101090000-539,20240101090000,livemint.com,https://www.livemint.com/companies/news/tcs-under-fire-for-allegedly-forcing-transfers-employees-union-nites-cries-foul-11704090940688.html,"TCS under fire for allegedly forcing transfers, employees union, NITES cries foul",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
