article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis
20240401094500-609,TCS.NS,"TCS, Infosys, Wipro Q4 Results: IT Firms Likely To Post Weak Earnings",https://www.news18.com/business/tcs-infosys-wipro-q4-results-it-firms-likely-to-post-weak-earnings-8835471.html,https://www.news18.com/business/tcs-infosys-wipro-q4-results-it-firms-likely-to-post-weak-earnings-8835471.html,news18.com,2024-04-01T15:15:00+05:30,2024-04-01,gdelt_gkg_observation
20240401133000-82,TCS.NS,TCS Ranks number one in Customer Satisfaction in Nordics for 15th Year,http://www.uniindia.com/~/tcs-ranks-number-one-in-customer-satisfaction-in-nordics-for-15th-year/States/news/3171671.html,http://www.uniindia.com/~/tcs-ranks-number-one-in-customer-satisfaction-in-nordics-for-15th-year/States/news/3171671.html,uniindia.com,2024-04-01T19:00:00+05:30,2024-04-02,gdelt_gkg_observation
20240401163000-1446,TCS.NS,TCS ranks #1 in Customer Satisfaction in Nordics for 15th year,https://www.business-standard.com/markets/capital-market-news/tcs-ranks-1-in-customer-satisfaction-in-nordics-for-15th-year-124040101021_1.html,https://www.business-standard.com/markets/capital-market-news/tcs-ranks-1-in-customer-satisfaction-in-nordics-for-15th-year-124040101021_1.html,business-standard.com,2024-04-01T22:00:00+05:30,2024-04-02,gdelt_gkg_observation
20240401173000-1125,TCS.NS,Indian Army Issues Project Sanction Order for Tactical Communication System (TCS) – Indian Defence Research Wing,https://idrw.org/indian-army-issues-project-sanction-order-for-tactical-communication-system-tcs/,https://idrw.org/indian-army-issues-project-sanction-order-for-tactical-communication-system-tcs/,idrw.org,2024-04-01T23:00:00+05:30,2024-04-02,gdelt_gkg_observation
20240402044500-784,TCS.NS,"TCS Creates World's One Of The Largest AI Workforce With 3.5 Lakh Strength - Trak.in - Indian Business of Tech, Mobile & Startups",https://trak.in/stories/tcs-creates-worlds-one-of-the-largest-ai-workforce-with-3-5-lakh-strength/,https://trak.in/stories/tcs-creates-worlds-one-of-the-largest-ai-workforce-with-3-5-lakh-strength/,trak.in,2024-04-02T10:15:00+05:30,2024-04-02,gdelt_gkg_observation
20240402064500-632,TCS.NS,"Tata Consultancy Services Ltd vs Jaygrih Nirman Pvt. Ltd on 1 April, 2024",https://indiankanoon.org/doc/31829184/,https://indiankanoon.org/doc/31829184/,indiankanoon.org,2024-04-02T12:15:00+05:30,2024-04-02,gdelt_gkg_observation
20240402140000-1785,TCS.NS,TCS Announces Plans to Forge One of the World's Largest AI-Ready Workforces,https://eyesonnews.com/tcs-announces-plans-to-forge-one-of-the-worlds-largest-ai-ready-workforces/,https://eyesonnews.com/tcs-announces-plans-to-forge-one-of-the-worlds-largest-ai-ready-workforces/,eyesonnews.com,2024-04-02T19:30:00+05:30,2024-04-03,gdelt_gkg_observation
20240403053000-1061,TCS.NS,"Hot Stocks: Brokerage view on M&M Finance, Jubilant FoodWorks, Tata Technologies, TCS and HCL Tech",https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-mm-finance-jubilant-foodworks-tata-technologies-tcs-and-hcl-tech/articleshow/108992658.cms,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-mm-finance-jubilant-foodworks-tata-technologies-tcs-and-hcl-tech/articleshow/108992658.cms,indiatimes.com,2024-04-03T11:00:00+05:30,2024-04-03,gdelt_gkg_observation
20240403064500-320,TCS.NS,"TCS, HCL Tech, Wipro rises up to 2% after CLSA hikes stock target prices",https://www.moneycontrol.com/news/business/markets/tcs-hcl-tech-wipro-rises-up-to-2-after-clsa-hikes-stock-target-prices-12565091.html,https://www.moneycontrol.com/news/business/markets/tcs-hcl-tech-wipro-rises-up-to-2-after-clsa-hikes-stock-target-prices-12565091.html,moneycontrol.com,2024-04-03T12:15:00+05:30,2024-04-03,gdelt_gkg_observation
20240403073000-777,TCS.NS,What Is TDS In Income Tax? Here's How It Is Different From TCS,https://business.outlookindia.com/personal-finance/tax/what-is-tds-in-income-tax-heres-how-it-is-different-from-tcs,https://business.outlookindia.com/personal-finance/tax/what-is-tds-in-income-tax-heres-how-it-is-different-from-tcs,outlookindia.com,2024-04-03T13:00:00+05:30,2024-04-03,gdelt_gkg_observation
20240403101500-674,TCS.NS,"Analyst Tracker: TCS, Infosys see maximum rating upgrades among Nifty stocks in last 3 months despite weak IT outlook",https://www.moneycontrol.com/news/business/markets/analyst-tracker-tcs-infosys-see-maximum-rating-upgrades-among-nifty-stocks-in-last-3-months-despite-weak-it-outlook-12567461.html,https://www.moneycontrol.com/news/business/markets/analyst-tracker-tcs-infosys-see-maximum-rating-upgrades-among-nifty-stocks-in-last-3-months-despite-weak-it-outlook-12567461.html,moneycontrol.com,2024-04-03T15:45:00+05:30,2024-04-04,gdelt_gkg_observation
20240403104500-875,TCS.NS,"CLSA upgrades TCS, two other IT majors, despite conservative outlook",https://economictimes.indiatimes.com/markets/stocks/news/clsa-upgrades-tcs-two-other-it-majors-despite-conservative-outlook/articleshow/109003181.cms,https://economictimes.indiatimes.com/markets/stocks/news/clsa-upgrades-tcs-two-other-it-majors-despite-conservative-outlook/articleshow/109003181.cms,indiatimes.com,2024-04-03T16:15:00+05:30,2024-04-04,gdelt_gkg_observation
20240403131500-32,TCS.NS,"IT sector hiring outlook: What analysis of data on Infosys, TCS, Wipro, HCL suggests",https://timesofindia.indiatimes.com/business/india-business/it-sector-hiring-outlook-what-analysis-of-data-on-infosys-tcs-wipro-hcl-suggests/articleshow/109002989.cms,https://timesofindia.indiatimes.com/business/india-business/it-sector-hiring-outlook-what-analysis-of-data-on-infosys-tcs-wipro-hcl-suggests/articleshow/109002989.cms,indiatimes.com,2024-04-03T18:45:00+05:30,2024-04-04,gdelt_gkg_observation
20240403194500-2335,TCS.NS,TCS Claims Over Half Its Workforce is GenAI-Ready,https://nearshoreamericas.com/tcs-claims-over-half-its-workforce-is-genai-ready/,https://nearshoreamericas.com/tcs-claims-over-half-its-workforce-is-genai-ready/,nearshoreamericas.com,2024-04-04T01:15:00+05:30,2024-04-04,gdelt_gkg_observation
20240404044500-715,TCS.NS,infosys: Infosys vs TCS: Who is poised to win in this Q4 IT battle?,https://economictimes.indiatimes.com/markets/stocks/earnings/infosys-vs-tcs-who-is-poised-to-win-in-this-q4-it-battle/articleshow/109021910.cms,https://economictimes.indiatimes.com/markets/stocks/earnings/infosys-vs-tcs-who-is-poised-to-win-in-this-q4-it-battle/articleshow/109021910.cms,indiatimes.com,2024-04-04T10:15:00+05:30,2024-04-04,gdelt_gkg_observation
