gkg_record_id,date,source,document_url,headline,human_label,notes
20250401001500-646,20250401001500,businessdailynetwork.com,https://businessdailynetwork.com/stories/669484508-h-1b-insights-employers-classified-under-the-information-industry-file-83-petitions-in-maryland-throughout-2024,H-1B Insights: Employers classified under the Information industry file 83 petitions in Maryland throughout 2024,NOT_RELEVANT,Unrelated acronym or foreign mention
20250401004500-466,20250401004500,financialexpress.com,https://www.financialexpress.com/business/industry/upcoming-q4-earnings-and-dividend-from-tcs-infosys-to-hdfc-bank-ultratech-watch-out-for-these-10-companies/3794357/,"Upcoming Q4 earnings and dividend: From TCS, Infosys to HDFC Bank, UltraTech watch out for these 10 companies",DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250401043000-580,20250401043000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-1st-april-2025/article69393043.ece,Stock Market Live Updates 1st April 2025: Market cautious as US-India tariff tensions loom; analysts advise selective investing,NOT_RELEVANT,Unrelated acronym or foreign mention
20250401054500-775,20250401054500,tribuneindia.com,https://www.tribuneindia.com/news/business/markets-open-lower-dragged-by-it-stocks-on-tariff-worries/,Markets open lower dragged by IT stocks on tariff worries,NOT_RELEVANT,Unrelated acronym or foreign mention
20250401054500-1056,20250401054500,thehindu.com,https://www.thehindu.com/business/markets/sensex-updates-on-april-1-2025/article69398986.ece,Sensex drops 640 points in early trade on tariff worries,NOT_RELEVANT,Unrelated acronym or foreign mention
20250401060000-798,20250401060000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-falls/articleshow/119846377.cms,Stock Market Sectors: Stock market update: Power stocks down as market falls,NOT_RELEVANT,Unrelated acronym or foreign mention
20250401060000-T986,20250401060000,jansatta.com,https://www.jansatta.com/business/share-market-crash-today-1st-april-2025-new-financial-year-bse-sensex-down-639-points-nse-nifty-opens-on-23339/3900934/,"शेयर बाजार में जोरदार गिरावट, Sensex 639 अंक धड़ाम, Nifty 23400 के नीचे खुला |Share Market Crash Today 1st April 2025 new financial year BSE Sensex down 639 points NSE Nifty opens on 23339",NOT_RELEVANT,Unrelated acronym or foreign mention
20250401061500-150,20250401061500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/sensex-down-900-pts-nifty-below-23-300-us-tariff-worries-among-key-factors-weighing-on-markets-12981020.html,"Sensex crashes nearly 1,200 pts, Nifty below 23,250: US tariff worries among key factors weighing on markets",NOT_RELEVANT,Unrelated acronym or foreign mention
20250401063000-69,20250401063000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-2-38-in-a-weak-market/articleshow/119847744.cms,Indices: Stock market update: Nifty IT index falls 2.38% in a weak market,NOT_RELEVANT,Unrelated acronym or foreign mention
20250401063000-153,20250401063000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/mphasis-infosys-other-it-stocks-slide-up-to-3-ahead-of-trumps-tariff-verdict/articleshow/119847949.cms,"Mphasis, Infosys, other IT stocks slide up to 3% ahead of Trump's tariff verdict",NOT_RELEVANT,Unrelated acronym or foreign mention
