article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis,human_label,human_notes
20250401004500-466,TCS.NS,"Upcoming Q4 earnings and dividend: From TCS, Infosys to HDFC Bank, UltraTech watch out for these 10 companies",https://www.financialexpress.com/business/industry/upcoming-q4-earnings-and-dividend-from-tcs-infosys-to-hdfc-bank-ultratech-watch-out-for-these-10-companies/3794357/,https://www.financialexpress.com/business/industry/upcoming-q4-earnings-and-dividend-from-tcs-infosys-to-hdfc-bank-ultratech-watch-out-for-these-10-companies/3794357/,financialexpress.com,2025-04-01T06:15:00+05:30,2025-04-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250401071500-795,TCS.NS,"Infosys, TCS, Persistent Systems, other IT stocks decline up to 4% ahead of Trump tariff reveal",https://www.moneycontrol.com/news/business/markets/infosys-tcs-persistent-systems-other-it-stocks-decline-up-to-4-ahead-of-trump-tariff-reveal-12981201.html,https://www.moneycontrol.com/news/business/markets/infosys-tcs-persistent-systems-other-it-stocks-decline-up-to-4-ahead-of-trump-tariff-reveal-12981201.html,moneycontrol.com,2025-04-01T12:45:00+05:30,2025-04-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250401093000-T1517,TCS.NS,"Tariff Imapct: ट्रंप के टैरिफ के खुलासे से पहले आईटी शेयर 4% तक गिरे, इंफोसिस, TCS, परसिस्टेंट सिस्टम्स फिसले",https://hindi.moneycontrol.com/news/markets/it-stocks-decline-up-to-4-percent-ahead-of-trump-tariff-reveal-infosys-tcs-persistent-systems-declined-1966847.html,https://hindi.moneycontrol.com/news/markets/it-stocks-decline-up-to-4-percent-ahead-of-trump-tariff-reveal-infosys-tcs-persistent-systems-declined-1966847.html,moneycontrol.com,2025-04-01T15:00:00+05:30,2025-04-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250402074500-956,TCS.NS,"Infosys, TCS, Wipro, Coforge, Mphasis: IT stocks to consider ahead of Q4 results",https://www.businesstoday.in/markets/stocks/story/infosys-tcs-wipro-coforge-mphasis-it-stocks-to-consider-ahead-of-q4-results-470297-2025-04-02,https://www.businesstoday.in/markets/stocks/story/infosys-tcs-wipro-coforge-mphasis-it-stocks-to-consider-ahead-of-q4-results-470297-2025-04-02,businesstoday.in,2025-04-02T13:15:00+05:30,2025-04-02,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250403080000-1044,TCS.NS,TCS shares fall 3.5% as Trump imposes 27% tax on Indian imports,https://www.thehindubusinessline.com/markets/stock-markets/tariffs-hit-hard-tcs-shares-fall-35-as-trump-imposes-27-tax-on-indian-imports/article69407193.ece,https://www.thehindubusinessline.com/markets/stock-markets/tariffs-hit-hard-tcs-shares-fall-35-as-trump-imposes-27-tax-on-indian-imports/article69407193.ece,thehindubusinessline.com,2025-04-03T13:30:00+05:30,2025-04-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250403113000-771,TCS.NS,"NSE BSE Top gainers, losers today: Sensex, Nifty drag as Trump's tariffs weigh, IT majors TCS, Wipro, Tech Mahindra, Infosys, Coforge plunge",https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-losers-intraday-april-3-2025-trumps-tariffs-drag-market-it-majors-tcs-wipro-tech-mahindra-infosys-coforge-plunge/article69407364.ece,https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-losers-intraday-april-3-2025-trumps-tariffs-drag-market-it-majors-tcs-wipro-tech-mahindra-infosys-coforge-plunge/article69407364.ece,thehindubusinessline.com,2025-04-03T17:00:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250403164500-962,TCS.NS,"Tata consultancy firm in UK targeted older, non-Indian nationals, tribunal hears",https://biztoc.com/x/5dd788b992aff67f,https://biztoc.com/x/5dd788b992aff67f,biztoc.com,2025-04-03T22:15:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250404051500-178,TCS.NS,"IT Stocks Live: TCS, Infosys, Wipro, Tech Mahindra, HCL Tech, Coforge shares continue downfall on second trading session after Liberation Day tariffs",https://www.thehindubusinessline.com/markets/stock-markets/indian-it-stocks-live-tcs-infosys-wipro-tech-mahindra-hcltech-cts-share-price-live-updates/article69411332.ece,https://www.thehindubusinessline.com/markets/stock-markets/indian-it-stocks-live-tcs-infosys-wipro-tech-mahindra-hcltech-cts-share-price-live-updates/article69411332.ece,thehindubusinessline.com,2025-04-04T10:45:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250404070000-928,TCS.NS,"Trump Tariffs: India Inc faces the heat, TCS, Infy to Tata Motors and Sun Pharma in turmoil",https://indianexpress.com/article/business/trump-tariffs-india-inc-tcs-infy-tata-motors-sun-pharma-9924190/,https://indianexpress.com/article/business/trump-tariffs-india-inc-tcs-infy-tata-motors-sun-pharma-9924190/,indianexpress.com,2025-04-04T12:30:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250404074500-656,TCS.NS,"TCS, Infosys to Coforge: Indian IT stocks bleed up to 6% as US recession fears mount. Is the worst set to come?",https://www.livemint.com/market/stock-market-news/us-recession-fears-trigger-sharp-drop-in-indian-it-stocks-is-the-worst-yet-to-come-11743747064932.html,https://www.livemint.com/market/stock-market-news/us-recession-fears-trigger-sharp-drop-in-indian-it-stocks-is-the-worst-yet-to-come-11743747064932.html,livemint.com,2025-04-04T13:15:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250404090000-T702,TCS.NS,"ഐ.ടി വീണ്ടും പ്രതിസന്ധിയില്‍: 40%വരെ ഇടിവ്: ഇപ്പോള്‍ നിക്ഷേപിക്കാമോ? , Trump tariffs, Indian IT stocks, TCS, Infosys, HCL Tech, US recession, business news",https://www.mathrubhumi.com/money/stock-market/trump-tariffs-recession-fears-hit-indian-it-stocks-hard-1.10482196,https://www.mathrubhumi.com/money/stock-market/trump-tariffs-recession-fears-hit-indian-it-stocks-hard-1.10482196,mathrubhumi.com,2025-04-04T14:30:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250404090000-347,TCS.NS,TCS Shares Dip 3.5% as US Slaps 27% Tariff on Indian Imports,https://www.siliconindia.com/news/general/tcs-shares-dip-35-as-us-slaps-27-tariff-on-indian-imports-nid-235312-cid-1.html,https://www.siliconindia.com/news/general/tcs-shares-dip-35-as-us-slaps-27-tariff-on-indian-imports-nid-235312-cid-1.html,siliconindia.com,2025-04-04T14:30:00+05:30,2025-04-04,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250404114500-T25,TCS.NS,"TCS, Infosys, HCL समेत कई दिग्गज IT Stocks डाउनग्रेड, ब्रोकरेज ने टारगेट भी घटाया; ट्रंप टैरिफ के बाद कैसे बनाएं स्ट्रैटजी - trump tariffs impact icici sec downgrades it sector cuts rating targets on stocks including tcs infosys hcl details",https://hindi.business-standard.com/markets/share-market/trump-tariffs-impact-icici-sec-downgrades-it-sector-cuts-rating-targets-on-stocks-including-tcs-infosys-hcl-details-id-427828,https://hindi.business-standard.com/markets/share-market/trump-tariffs-impact-icici-sec-downgrades-it-sector-cuts-rating-targets-on-stocks-including-tcs-infosys-hcl-details-id-427828,business-standard.com,2025-04-04T17:15:00+05:30,2025-04-07,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250405034500-826,TCS.NS,"Infosys, TCS, Wipro to HCL Technologies: Which IT stock to buy for long-term amid Trump's tariff flare?",https://www.livemint.com/market/stock-market-news/infosys-tcs-wipro-to-hcl-technologies-which-it-stock-to-buy-for-long-term-amid-trump-s-tariff-flare-11743760992646.html,https://www.livemint.com/market/stock-market-news/infosys-tcs-wipro-to-hcl-technologies-which-it-stock-to-buy-for-long-term-amid-trump-s-tariff-flare-11743760992646.html,livemint.com,2025-04-05T09:15:00+05:30,2025-04-07,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250405184500-965,TCS.NS,"TCS Q4 Update: India's largest IT major to declare March quarter results on THIS date, consider final dividend for FY25",https://www.livemint.com/market/stock-market-news/tcs-q4-update-indias-largest-it-major-to-declare-march-quarter-results-on-april-10-consider-final-dividend-for-fy25-11743869175878.html,https://www.livemint.com/market/stock-market-news/tcs-q4-update-indias-largest-it-major-to-declare-march-quarter-results-on-april-10-consider-final-dividend-for-fy25-11743869175878.html,livemint.com,2025-04-06T00:15:00+05:30,2025-04-07,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250406044500-433,TCS.NS,"Q4 results this week: Earnings season to kick off with TCS, Anand Rathi, and more",https://economictimes.indiatimes.com/markets/stocks/earnings/q4-results-this-week-earnings-season-to-kick-off-with-tcs-anand-rathi-and-more/articleshow/120031391.cms,https://economictimes.indiatimes.com/markets/stocks/earnings/q4-results-this-week-earnings-season-to-kick-off-with-tcs-anand-rathi-and-more/articleshow/120031391.cms,indiatimes.com,2025-04-06T10:15:00+05:30,2025-04-07,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250406081500-91,TCS.NS,"Q4 results: TCS, Anand Rathi, Tranformers and Rectifiers among companies to declare earnings next week; check list here",https://www.livemint.com/market/stock-market-news/q4-results-tcs-anand-rathi-tranformers-and-rectifiers-among-companies-to-declare-earnings-next-week-check-list-here-11743912285312.html,https://www.livemint.com/market/stock-market-news/q4-results-tcs-anand-rathi-tranformers-and-rectifiers-among-companies-to-declare-earnings-next-week-check-list-here-11743912285312.html,livemint.com,2025-04-06T13:45:00+05:30,2025-04-07,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
