record_id,headline,canonical_url,source,DATE
20240101150000-T1185,"TCS - trzech Polaków w drugiej serii w Ga-Pa, prowadzi Kobaya…","https://radio.opole.pl/104,783150,tcs-trzech-polakow-w-drugiej-serii-w-ga-pa-prowa",radio.opole.pl,20240101150000
20240102021500-173,IT union accuses TCS of stopping pay to 900 staff,https://www.financialexpress.com/business/industry-it-union-accuses-tcs-of-stopping-pay-to-900-staff-3352729/,financialexpress.com,20240102021500
20240102080000-T195,"tata group tcs share price third interim dividend record date update news mdn | टाटा ग्रुप की इस कंपनी में डिविडेंड को लेकर 11 जनवरी को होगा फैसला, आज शेयर में दिखा ये एक्शन",https://www.prabhatkhabar.com/business/tata-group-tcs-share-price-third-interim-dividend-record-date-update-news-mdn,prabhatkhabar.com,20240102080000
20240103074500-T13,"इंटरग्लोब एविएशन और टाटा कंसल्टेंसी सर्विसेज बेचें, डाबर इंडिया खरीदें : रिलायंस सिक्योरिटीज",https://www.sharemanthan.in/technical-tips/intraday-tips/73652-reliance-secrities-market-lens-intraday-calls-20240103,sharemanthan.in,20240103074500
20240109184500-T1451,"Vikatan Digital Exclusive - 01 December 2023 - டி.சி.எஸ், இன்ஃபோசிஸ், ஹெச்.சி.எல்: ஐடி நிறுவனங்களின் முக்கிய லெவல்... கவனிக்க வேண்டிய அம்சங்கள்! | TCS, Infosys, HCL: Key Support & Resistance Levels of IT companies",https://www.vikatan.com/personal-finance/share-market/tcs-infosys-hcl-key-support-resistance-levels-of-it-companies,vikatan.com,20240109184500
20240110001500-T494,'टीसीएस' कंपनीच्या कर्मचाऱ्याचे नातलग गुणवत्ता यादीत | Relative merit list of employee of TCS company Nagpur,https://www.loksatta.com/nagpur/relative-merit-list-of-employee-of-tcs-company-nagpur-amy-95-4148979/,loksatta.com,20240110001500
20240111064500-T407,"Share Market Live today 11 January sensex nifty tcs bse infosys nse top gainers trending stocks - Share Market Live today 11 January: शेयर मार्केट में बढ़त बरकरार, ऑटो स्टाॅक्स में तेजी, सेंसेक्स-निफ्टी हरे निशान पर, Business News",https://www.livehindustan.com/business/story-share-market-live-today-11-january-sensex-nifty-tcs-bse-infosys-nse-top-gainers-trending-stocks-9185810.html,livehindustan.com,20240111064500
20240111123000-164,"TCS, Infosys Show Dismal Growth as Clients Remain Cautious",https://www.bnnbloomberg.ca/tcs-infosys-show-dismal-growth-as-clients-remain-cautious-1.2020699,bnnbloomberg.ca,20240111123000
20240111140000-1330,"TCS, Infosys Show Dismal Growth as Clients Remain Cautious",https://finance.yahoo.com/news/tcs-infosys-show-dismal-growth-114734644.html,yahoo.com,20240111140000
20240111140000-1274,"TCS, Infosys Show Dismal Growth as Clients Remain Cautious",https://www.bloomberg.com/news/articles/2024-01-11/tcs-infosys-show-dismal-growth-as-clients-remain-cautious,bloomberg.com,20240111140000
