Ticker,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Test_Samples
RELIANCE.NS,0.2798,0.0783,0.2798,0.1223,0.5078,1276
TCS.NS,0.3235,0.3487,0.3235,0.3079,0.5187,1085
HDFCBANK.NS,0.326,0.3697,0.326,0.3265,0.5199,1276
ICICIBANK.NS,0.4948,0.2448,0.4948,0.3275,0.5115,1146
INFY.NS,0.4326,0.1871,0.4326,0.2613,0.5002,1276
HINDUNILVR.NS,0.384,0.2988,0.384,0.3336,0.5033,1276
ITC.NS,0.3495,0.3568,0.3495,0.3495,0.506,1276
SBIN.NS,0.4326,0.3053,0.4326,0.3416,0.5123,1276
BHARTIARTL.NS,0.2408,0.3127,0.2408,0.1043,0.5069,1146
KOTAKBANK.NS,0.3648,0.2613,0.3648,0.3045,0.4908,1198
LT.NS,0.4554,0.2074,0.4554,0.285,0.5208,1144
AXISBANK.NS,0.4459,0.2805,0.4459,0.3194,0.5014,1276
ASIANPAINT.NS,0.2914,0.348,0.2914,0.2505,0.491,1146
MARUTI.NS,0.2461,0.0606,0.2461,0.0972,0.5096,1093
TITAN.NS,0.2986,0.3782,0.2986,0.2643,0.5071,1276
BAJFINANCE.NS,0.3918,0.347,0.3918,0.3503,0.5227,1146
SUNPHARMA.NS,0.2265,0.0513,0.2265,0.0836,0.518,1276
HCLTECH.NS,0.2454,0.4179,0.2454,0.1083,0.5122,1141
TATASTEEL.NS,0.2445,0.0598,0.2445,0.0961,0.4985,1276
NTPC.NS,0.2559,0.0655,0.2559,0.1043,0.5057,1024
